"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="3008","大立光","3840","2011","160","+29.4","69.4","+19.6","52","+28.5","43.4","-3.58","32.5","-0.22","38.76","+8.61","28.7","+1.84","23.7","+0.35","87"
"2",="6669","緯穎","840","-","","","","","","","","","","","","","","","","",""
"3",="4966","譜瑞-KY","854","2011","23.3","+46.3","11.2","+64.6","4.53","+66.7","48","+5.34","19.4","+2.38","11.48","-11.7","30.8","-16.4","23.9","-11.4","75"
"4",="6488","環球晶","365","-","","","","","","","","","","","","","","","","",""
"5",="3293","鈊象","521","2011","30.6","+4.95","24.8","+7.65","9.25","+12.9","80.9","+2.03","30","+2.17","13.35","+1.49","28.8","+1.65","23","+1.1","85"
"6",="6409","旭隼","760","2011","34.4","+30.4","6.56","+13.1","2.8","+45.1","19.1","-2.92","8.12","+0.82","6.66","+1.25","33.3","+2.4","15","+2.55","52"
"7",="6415","矽力-KY","1370","2011","4.79","+127","2.11","+136","-0.83","-27.6","44","+1.63","-17.2","+13.5","-8.12","-0.62","-97.8","-13.8","-17.4","+12.5","32"
"8",="1565","精華","358","2011","34.6","+11.6","16.7","+0.76","10.7","+22.3","48.4","-5.2","30.8","+2.7","21.16","+3.86","40.4","+2.38","28.4","+2.07","86"
"9",="3406","玉晶光","475","2011","84.3","+85.1","21.6","+84.9","9.38","+102","25.6","-0.03","11.3","+0.69","10.92","+4.91","19.4","+3.18","10.8","+1.76","64"
"10",="5274","信驊","1415","2011","","","","","0.9","","","","","","4.77","","","","","",""
"11",="2227","裕日車","258.5","2011","321","+17","47.4","+25.1","38.3","+32.9","14.7","+0.96","11.9","+1.43","12.77","+3.16","20.9","+3.08","16.9","+1.88","64"
"12",="8299","群聯","276","2011","323","+1.73","45.3","+36.1","26.2","+72.6","14","+3.54","8.09","+3.32","14.68","+6.11","26.6","+8.65","17.9","+6.7","57"
"13",="2207","和泰車","512","2011","1,272","+14.7","149","+20.6","65.9","+35.7","11.7","+0.58","5.87","+0.93","12.06","+3.17","25.6","+4.16","7.99","+1","47"
"14",="6121","新普","309","2011","481","+24.3","68.8","-1.65","36.9","+10.8","14.3","-3.78","7.65","-0.84","13.16","+0.1","25.1","-1.23","13.4","-1.37","51"
"15",="3533","嘉澤","396.5","2011","77.4","+7.61","22.4","-15.7","9.3","-25.5","28.9","-8","12","-5.34","9.95","-4.67","17.2","-16.3","12.5","-9","53"
"16",="3563","牧德","332.5","2011","5.39","+48.5","3.17","+51.3","1.46","+126","58.9","+1.11","27.1","+9.29","4.76","+1.9","32.2","+11.9","24.1","+8.77","79"
"17",="5904","寶雅","592","2011","","","","","3.36","+17.7","","","","","3.76","+0.5","","","","",""
"18",="5536","聖暉","210.5","2011","85.4","+36.6","11.1","-9.13","5.6","-22.9","13","-6.55","6.56","-5.06","13.3","-6.02","25.6","-24.6","9.7","-9.68","47"
"19",="6510","精測","613","-","","","","","","","","","","","","","","","","",""
"20",="4137","麗豐-KY","189","-","","","","","","","","","","","","","","","","",""
"21",="3611","鼎翰","192.5","2011","16.8","+19.2","7.03","+20.4","3.08","+48.7","41.9","+0.42","18.4","+3.65","9.19","+1.73","32.3","+3.85","19.3","+2.04","74"
"22",="8070","長華","157","2011","159","+2.21","10.6","-15.1","0.18","-97.9","6.68","-1.37","0.02","-5.67","0.29","-13.7","0.1","-25.3","0.04","-10.2","36"
"23",="8436","大江","254","2011","9.62","+8.7","3.86","+25.5","0.93","+50.6","40.1","+5.39","9.78","+2.74","4.7","+0.24","26.2","-2.47","11.6","-0.43","60"
"24",="6670","復盛應用","172","-","","","","","","","","","","","","","","","","",""
"25",="2915","潤泰全","67.1","2011","91.8","+4.46","37.6","+14.5","24.3","+124","40.9","+3.6","38.7","+16","3.43","+1.85","16.4","+2.17","10.7","+1.95","66"
"26",="2059","川湖","320","2011","26.2","+2.62","12.8","-3.57","8.98","+27.5","48.9","-3.14","34.3","+6.69","9.75","+2.09","23.8","+3.09","16","+2.68","82"
"27",="2327","國巨","371.5","2011","250","-8.57","53.1","-31.3","16.7","-59.8","21.2","-7.04","6.77","-8.52","0.76","-1.13","5.16","-8.35","3.43","-4.99","51"
"28",="2357","華碩","204.5","2011","3,841","-10.6","524","+0.95","166","+0.54","13.6","+1.56","4.39","+0.19","21.99","+14.3","15.1","+3.27","8.05","+1.67","45"
"29",="1256","鮮活果汁-KY","203.5","2011","9.96","+77.7","1.93","+36.7","0.83","+34.8","19.4","-5.83","8.41","-2.59","5.54","+1.39","37.2","+1.65","18.3","-0.62","52"
"30",="5269","祥碩","1170","2011","14.5","+125","5.61","+94.7","2.17","+363","38.8","-6.06","15","+7.7","5.08","+3.91","50","+31.1","30.6","+21.5","64"
"31",="1476","儒鴻","294.5","2011","106","+24.7","26.8","+31.9","11.8","+54.8","25.2","+1.38","11.1","+2.14","5.6","+1.77","29.2","+6.3","17.6","+4.05","60"
"32",="3665","貿聯-KY","184.5","2011","56","+8.77","12.8","-10","1.52","-62.6","22.8","-4.78","2.71","-5.17","2.41","-4.82","7.06","-17.2","4.1","-8.44","43"
"33",="2729","瓦城","225","2011","15.3","+39.2","8.32","+38","1.66","+44.8","54.3","-0.48","10.9","+0.42","9.42","-4.28","45.4","+5.61","28.3","+3.75","74"
"34",="5278","尚凡","129.5","-","","","","","","","","","","","","","","","","",""
"35",="8464","億豐","247.5","-","","","","","","","","","","","","","","","","",""
"36",="8437","大地-KY","188.5","-","","","","","","","","","","","","","","","","",""
"37",="2404","漢唐","197","2011","146","+58","16.3","+8.95","8.41","-29.4","11.2","-5.02","5.78","-7.11","3.47","-1.45","16.7","-8.96","8.26","-5.19","49"
"38",="2454","聯發科","442","2011","869","-23.5","393","-35.4","136","-56","45.3","-8.36","15.7","-11.6","12.35","-16.1","11.9","-16.1","9.53","-12.8","70"
"39",="6613","朋億","152","-","","","","","","","","","","","","","","","","",""
"40",="2474","可成","205","2011","359","+64.4","169","+118","107","+141","47","+11.5","29.7","+9.34","14.93","+8.27","24","+10.3","14.5","+6.53","81"
"41",="1590","亞德客-KY","543","2011","56.4","+31.2","29.2","+28.3","13.5","+29.8","51.8","-1.15","24.4","0","9","+1.24","27.4","-2.71","18","-0.91","74"
"42",="5287","數字","226.5","2011","5.93","+10.6","5.33","+11.1","2.57","+90.1","89.9","+0.35","43.3","+18.1","14.61","+1.48","55.6","+21.4","26.6","+10.9","84"
"43",="1264","德麥","218","2011","15.7","","5.75","","2.21","","36.7","","14.3","","11.03","","42.8","","26.5","","64"
"44",="4439","冠星-KY","143.5","-","","","","","","","","","","","","","","","","",""
"45",="2492","華新科","184","2011","251","-37.6","16.9","-71.3","-10.6","-211","6.74","-7.94","-3.79","-8.1","-1.54","-2.99","-4.39","-10.8","-2.23","-5.46","32"
"46",="4420","光明","24.85","2011","","","","","0.46","-29.8","","","","","1.56","-0.66","","","","",""
"47",="2379","瑞昱","246.5","2011","219","-1.74","84","-0.91","15.9","-4.74","38.4","+0.32","7.27","-0.23","3.24","-0.22","9.34","-0.51","6.83","-0.75","51"
"48",="2330","台積電","292","2011","4,271","+1.8","1,941","-6.24","1,342","-17","45.5","-3.89","31.5","-7.2","5.18","-1.06","22.2","-7.9","18","-6.7","94"
"49",="6414","樺漢","184","2011","14","","2.26","","1.02","","16.1","","7.28","","2.16","","15.4","","10.5","","50"
"50",="3034","聯詠","198.5","2011","351","-3.43","89.3","-8.77","37","-19.4","25.5","-1.49","10.5","-2.09","6.16","-1.53","16.7","-4.78","10","-3.02","62"
"51",="8406","金可-KY","152","2011","31.2","+28","19.8","+26.5","7.61","+36.8","63.6","-0.76","24.4","+1.58","9.51","+2.54","29.1","-2.29","17.1","+0.99","68"
"52",="5289","宜鼎","183.5","2011","20.9","+41.7","6","+77.2","2.69","+79","28.6","+5.73","12.8","+2.56","7.5","+2.18","36.9","+6.62","26.8","+5.11","66"
"53",="6176","瑞儀","100.5","2011","634","+31.3","67.4","+45.5","43.9","+68.7","10.6","+1.04","6.92","+1.53","10.01","+3.9","26.1","+7.91","11.1","+2.21","53"
"54",="6462","神盾","188","-","","","","","","","","","","","","","","","","",""
"55",="2439","美律","130","2011","78.4","-3.74","12","-30.9","3.15","-47.6","15.4","-6.03","3.82","-3.56","2","-1.81","6.82","-6.68","3.98","-4.12","45"
"56",="1537","廣隆","141.5","2011","48.3","+9.86","7.26","-29.3","3.15","-38.6","15","-8.32","6.71","-5.05","3.9","-2.92","15.3","-11.5","10.3","-5.45","47"
"57",="6803","崑鼎","214","2011","35.1","+13.8","9.03","+23.1","5.47","+35.1","25.8","+1.94","17.8","+3.19","9.44","+1.44","25.1","-0.4","11.6","+0.48","62"
"58",="2929","淘帝-KY","56.8","2011","23.5","","9.04","","3.02","","38.6","","12.9","","6.71","","47.9","","22.3","","59"
"59",="3324","雙鴻","160","2011","40.3","+25.5","5.29","+41.5","1.68","+227","13.1","+1.49","4.1","+2.5","3.01","+1.96","20.6","+11.1","7.76","+4.37","43"
"60",="5871","中租-KY","111.5","2011","168","+29.8","86.6","+36.3","24.5","+15.1","51.6","+2.46","15.7","-2.21","3.35","+0.7","17.2","+1.37","2.3","-0.33","47"
"61",="4803","VHQ-KY","69.6","-","","","","","","","","","","","","","","","","",""
"62",="3044","健鼎","108.5","2011","409","-4.92","80.7","-14.8","42.1","-17.3","19.7","-2.29","10.3","-1.35","8","-2.73","19.2","-7.31","9.56","-2.81","55"
"63",="2548","華固","91.8","2011","85","-13.6","34.1","-6.56","28","-4.24","40.1","+3.01","32.9","+3.15","10.38","-0.93","24.7","-5.81","11.8","-2.99","66"
"64",="1558","伸興","130.5","2011","47.5","+6.52","11.7","-11.4","6.07","+3.62","24.7","-5.02","12.8","-0.35","12.64","+0.17","30.6","-1.48","19.4","-2.48","64"
"65",="3131","弘塑","227","2011","11.1","+6.73","3.92","-5.02","1.93","-9.3","35.4","-4.38","17.5","-3.09","8.82","-1.84","37.9","-20.9","15.4","-6.95","64"
"66",="5534","長虹","82.3","2011","52.5","-21","28.1","-8.98","22.8","-14.6","53.4","+7.07","43.4","+3.27","9.35","-1.83","26.4","-10.5","13.6","-4.72","66"
"67",="6569","醫揚","168","-","","","","","","","","","","","","","","","","",""
"68",="8422","可寧衛","155","2011","23.2","+81","16.5","+146","13.2","+158","70.9","+18.8","56.7","+17","13.03","+6.55","45","-2.88","40","+1.22","98"
"69",="5283","禾聯碩","98.9","2011","45.6","+2.32","11.7","-3.91","0.6","-82.5","25.6","-1.66","0.82","-6.93","1.04","-5.14","3.38","-27.4","1.55","-11.2","38"
"70",="3105","穩懋","239.5","2011","89","+27.5","28","+34.9","12.8","-25.2","31.5","+1.73","14.4","-10.1","2.04","-0.8","13.5","-8.2","7.64","-5.27","53"
"71",="2707","晶華","138.5","2011","55","+4.87","21.3","-1.96","9.67","+8.4","38.7","-2.7","17.1","+0.86","11.01","-0.17","30.4","+1.12","15.2","-1.2","64"
"72",="2395","研華","277","2011","264","+14.8","105","+14.3","35.5","+16.9","39.8","-0.18","13.5","+0.19","6.44","+0.38","24.4","+1.37","17.9","+0.34","66"
"73",="6666","羅麗芬-KY","120.5","-","","","","","","","","","","","","","","","","",""
"74",="1439","中和","35.1","2011","","","","","-0.8","-104","","","","","-0.87","-22.6","","","","",""
"75",="8016","矽創","143","2011","45.7","-14.4","11.8","-16.2","2.93","-40.7","25.8","-0.54","5.74","-3.43","2.48","-1.71","7.71","-7.53","5.59","-5.39","51"
"76",="8446","華研","112","2011","6.43","-1.5","2.29","+9.45","0.44","+114","35.6","+3.56","8.45","+2.92","2.17","+1.14","26.2","+8.45","11.4","+2.55","55"
"77",="4766","南寶","137","-","","","","","","","","","","","","","","","","",""
"78",="2383","台光電","143","2011","147","+9.28","24.2","-0.88","8.5","-30.2","16.4","-1.69","5.78","-3.27","2.87","-1.43","16.1","-10.4","7.39","-3.91","43"
"79",="2912","統一超","299.5","2011","1,893","+11.4","604","+11.9","63.5","+10.9","31.9","+0.14","3.78","+0.03","6.11","+0.6","30.1","+1.88","9.98","+0.57","55"
"80",="1580","新麥","89.8","2011","30.1","+16.1","12","+11.9","4.03","+8.76","39.9","-1.48","13.8","-0.86","9.89","+0.35","36.7","-2.81","20","-2.87","59"
"81",="6269","台郡","103.5","2011","75.6","+66.1","21.1","+107","11.5","+99.9","27.8","+5.48","15.2","+2.57","7.29","+3.23","33","+5.76","18.4","+2.88","62"
"82",="6456","GIS-KY","107.5","-","","","","","","","","","","","","","","","","",""
"83",="8454","富邦媒","549","2011","157","","26.7","","6.96","","17","","4.26","","6.03","","30.8","","14","","57"
"84",="4958","臻鼎-KY","112","2011","443","+27.6","69.9","+50.8","23.6","+231","15.8","+2.42","5.32","+3.27","3.64","+2.54","15.3","+9.8","4.88","+3.13","43"
"85",="6643","M31","286","-","","","","","","","","","","","","","","","","",""
"86",="4438","廣越","123.5","-","","","","","","","","","","","","","","","","",""
"87",="2732","六角","142.5","2011","5.24","","2.81","","0.52","","53.7","","10.8","","14.47","","42","","14.7","","62"
"88",="1707","葡萄王","191","2011","37.7","+14.9","32.6","+18","4.73","+10.6","86.4","+2.25","17.5","+0.29","3.63","+0.35","27.8","+1.83","19.8","+2.19","79"
"89",="4536","拓凱","121","2011","58.7","+7.07","14.2","+4.88","5.06","+26.9","24.2","-0.5","8.54","+0.94","6.18","+0.48","19.4","-0.87","9.13","-0.09","43"
"90",="5288","豐祥-KY","95","-","","","","","","","","","","","","","","","","",""
"91",="5434","崇越","104.5","2011","159","+8.61","19.5","+24.9","9.52","+44.3","12.3","+1.6","5.84","+1.35","6.4","+1.87","21","+4.24","11.5","+2.54","51"
"92",="6452","康友-KY","151.5","-","","","","","","","","","","","","","","","","",""
"93",="8416","實威","115.5","2011","5.94","+15.2","3.76","+13.7","1.59","+6.52","63.3","-0.84","26.8","-2.18","6.84","-0.73","35.2","-6.79","27.4","-3.04","84"
"94",="6538","倉和","266.5","-","","","","","","","","","","","","","","","","",""
"95",="3152","璟德","303.5","2011","","","","","3.38","-41.7","","","","","4.9","-3.5","","","","",""
"96",="9945","潤泰新","45","2011","148","-2.9","28","+9.77","26.8","+156","18.9","+2.19","18.9","+11.2","3.44","+2.05","15.1","+6.34","7.72","+3.68","45"
"97",="9941","裕融","99.5","2011","82.4","+21.1","32.9","+20.7","9.82","-8.23","39.8","-0.12","13.3","-3.93","4.16","-0.38","19.2","-3.38","2.46","-1","45"
"98",="4163","鐿鈦","130.5","2011","11.6","+3.05","3.49","-8.9","1.14","+19.8","30","-3.93","9.77","+1.37","3.23","+0.35","18","-0.97","7.29","-0.68","49"
"99",="8083","瑞穎","160","2011","","","","","1.21","+50.8","","","","","4.02","+1.35","","","","",""
"100",="9921","巨大","236","2011","474","+7.14","106","-1.4","30.1","+16.8","22.3","-1.93","6.41","+0.55","8.04","+0.87","21.3","+0.11","9.43","+0.01","45"
"101",="3708","上緯投控","80.3","-","","","","","","","","","","","","","","","","",""
