代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
8109,博大,5.01,5.01,4.41,5.38,5.54,5.31,4.36,2.77,3.95,3.74
8424,惠普,5.01,5.01,4.54,3.4,3.76,4.02,3.81,3.89,3.56,4.88
2939,凱羿-KY,5,5,18.63,13.22,,,,,,
5478,智冠,5,5,3.28,3.3,2.42,4.09,3.01,2.2,3.27,9.42
3081,聯亞,4.97,4.97,7.27,9.64,14.89,11.19,5.02,,,
3515,華擎,4.95,4.95,4.02,1.39,2.09,4.4,9.23,9,11.37,9.77
2850,新產,4.94,4.94,4.32,3.35,3.97,3.28,3.08,2.45,1.8,4.79
4974,亞泰,4.94,4.94,4.25,4.41,4.02,4.07,3.87,3.6,3.59,3.22
2926,誠品生活,4.92,4.92,8.92,8.88,9.12,8.17,6.72,4.05,5.35,
9942,茂順,4.92,4.92,6.33,5.86,5.09,6.32,6.06,4.38,4.91,5.52
6138,茂達,4.9,4.9,2.82,2,1.49,2.01,0.8,0.89,1.02,1.14
1326,台化,4.89,4.89,9.33,7.5,4.72,1.8,4.25,1.29,5.81,8.33
6023,元大期,4.89,4.89,3.76,3.6,3.35,3.75,2.82,2.3,4.23,2.26
6514,芮特-KY,4.88,4.88,1.77,1.99,4.1,-0.34,2.5,3.23,,
9917,中保科,4.85,4.85,5,1.4,4.68,4.74,4.57,4.33,4.01,3.92
3546,宇峻,4.81,4.81,4.61,3.95,-0.83,0.18,0.95,3.09,0.56,12.21
8171,天宇,4.81,4.81,-1.77,-1.93,-2.25,-0.6,-1.17,-0.66,1.6,3.22
4915,致伸,4.8,4.8,4.67,4.4,4.06,3.57,1.55,2.91,2.63,3.92
4987,科誠,4.8,4.8,5.09,4.25,6.81,7.52,6.25,4.75,3.68,3.15
1338,廣華-KY,4.78,4.78,9.25,8.17,9.04,7.78,5.87,4.52,9.18,8.63
6279,胡連,4.78,4.78,10,9.24,8.25,8,6.91,4.77,4.56,5.51
2727,王品,4.77,4.77,6.01,4.2,0.45,9.14,13.64,15.31,12.71,13.35
2882,國泰金,4.76,4.76,4.47,3.79,4.58,3.93,3.28,1.52,1.1,0.42
3213,茂訊,4.74,4.74,5.64,4.42,3.98,3.88,3.28,2.67,6.03,5.96
5511,德昌,4.74,4.74,2.36,2.65,1.85,3.88,4.32,5.86,5.43,3.33
1521,大億,4.73,4.73,6.55,6.52,5.9,4.88,4.02,3.75,4.27,5
3443,創意,4.73,4.73,6.38,4.11,3.69,3.27,2.16,4.58,3.94,4.56
2923,鼎固-KY,4.72,4.72,0.08,1.38,2,1.67,1.8,0.86,3.02,0.63
9939,宏全,4.72,4.72,4.2,4.02,3.26,3.72,4.27,4.38,5,5.24
2456,奇力新,4.71,4.71,7.1,5.34,4.41,2.7,1.82,1.75,1.41,2.52
4175,杏一,4.7,4.7,3.29,4.04,4.83,4.04,4.71,1.65,1.66,2.47
3684,榮昌,4.64,4.64,3.23,3.04,5.11,3.4,2.43,2.59,1.8,1.24
2643,捷迅,4.6,4.6,2.17,5.27,4.08,2,1.31,,,
6224,聚鼎,4.6,4.6,4.1,5.07,5.83,5.01,4.72,4.95,4.74,4.68
4568,科際精密,4.58,4.58,6.13,7.56,,,,,,
4942,嘉彰,4.57,4.57,1.75,2.26,-3.49,2.59,3.27,4.03,4.5,6.08
5215,科嘉-KY,4.56,4.56,0.6,2.01,4.3,4.28,1.01,3.86,5.11,7.16
8938,明安,4.55,4.55,3.3,2.59,0.05,-0.58,-0.95,3.27,1.15,3.6
5203,訊連,4.53,4.53,2.72,3.15,5.6,7.06,7.07,6.93,6.11,7.08
2066,世德,4.51,4.51,4.67,6.02,7.1,6.56,5.51,3.37,4.19,
3045,台灣大,4.51,4.51,5.21,5.63,5.76,5.56,5.79,6.07,4.7,4.62
6412,群電,4.51,4.51,4.21,3.71,3.22,3.16,2.42,2.82,3.06,2.03
6173,信昌電,4.49,4.49,2.01,1.36,0.74,0.75,0.11,-0.23,0.3,1.52
6271,同欣電,4.49,4.49,5.91,6.29,6.39,9.27,9.72,8.09,6.39,5.91
2360,致茂,4.48,4.48,6.41,4.53,3.28,3.52,3.21,2.45,4.06,5.05
2905,三商,4.48,4.48,2.27,3.04,2.3,1.96,1.43,1.69,1.91,2.13
4994,傳奇,4.48,4.48,-2.56,-0.98,0.27,3.98,4.25,6.83,14.43,6.29
