代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
3105,穩懋,10.59,10.59,9.34,6.04,3.97,2.65,2.4,2.31,2.04,2.84
2707,晶華,10.58,10.58,8.37,7.53,8.96,9.6,10.66,11.27,11.01,11.18
2395,研華,10.51,10.51,8.84,8.96,8.08,7.8,7.26,6.24,6.44,6.06
6666,羅麗芬-KY,10.5,10.5,6.7,2.38,0.35,,,,,
1439,中和,10.46,10.46,-0.07,0.28,0.01,0.01,0.02,-0.09,-0.87,21.68
8016,矽創,10.27,10.27,7.32,8.77,7.05,6.02,3.63,2.99,2.48,4.19
8446,華研,10.22,10.22,6.81,6.57,5.31,5.43,4.25,3.17,2.17,1.03
4766,南寶,10.19,10.19,8.22,13.59,10.59,,,,,
2383,台光電,10.14,10.14,8.74,8.7,7.55,4.91,2.69,3.74,2.87,4.3
2912,統一超,10.14,10.14,29.83,9.46,7.92,8.74,7.73,5.69,6.11,5.51
1580,新麥,10.02,10.02,11.01,11.27,9.72,11.13,11.05,9.4,9.89,9.54
6269,台郡,10.02,10.02,10.07,8.42,10.83,6.71,9.64,9.17,7.29,4.06
6456,GIS-KY,10.02,10.02,21.46,9.39,7.44,4.81,40.72,41.43,,
8454,富邦媒,9.95,9.95,9.07,8.45,7.48,9.11,4.39,4.35,6.03,
4958,臻鼎-KY,9.93,9.93,6.43,4.29,9.8,9.12,7.41,5.49,3.64,1.1
6643,M31,9.9,9.9,6.51,6.35,,,,,,
4438,廣越,9.73,9.73,5.07,7.41,10.21,10.47,,,,
2732,六角,9.7,9.7,5.02,4.82,5.06,5.71,7.17,10.03,14.47,
1707,葡萄王,9.63,9.63,10.03,9.82,8.07,7.24,6.42,4.67,3.63,3.28
4536,拓凱,9.53,9.53,5.32,8.58,6.73,6.07,6.31,5.42,6.18,5.7
5288,豐祥-KY,9.5,9.5,6.99,7.25,7.5,5.77,5.6,6.79,,
5434,崇越,9.48,9.48,5.98,7.25,5.89,5.44,5.22,5.39,6.4,4.53
6452,康友-KY,9.46,9.46,12.71,13.9,16.54,7.71,11.06,,,
8416,實威,9.44,9.44,8.97,7.7,8.11,7.24,6.18,5.2,6.84,7.57
6538,倉和,9.39,9.39,-0.91,4.6,8.36,7.98,,,,
3152,璟德,9.37,9.37,12.15,11.69,11.06,6.85,6.89,4.76,4.9,8.4
9945,潤泰新,9.35,9.35,6.91,5.9,6.46,5.69,29.03,3.06,3.44,1.39
9941,裕融,9.12,9.12,8.46,6.41,5.36,5.9,5.68,4.94,4.16,4.54
4163,鐿鈦,9.05,9.05,3.77,8.75,7.31,7.87,6.05,4.67,3.23,2.88
8083,瑞穎,9,9,8.59,10.42,8.87,8.75,6.12,5.21,4.02,2.67
9921,巨大,9,9,5.48,8.17,10.25,10.96,9.34,8,8.04,7.17
3708,上緯投控,8.97,8.97,2.46,0.57,,,,,,
