"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="3008","大立光","3840","2016","484","-13.5","324","+1.14","227","-5.89","67","+9.67","47","+3.78","169.47","-10.6","32.4","-11.7","25.1","-8.2","91"
"2",="6669","緯穎","840","2016","317","+194","17.1","+50.3","3.11","+13.9","5.39","-5.15","0.98","-1.55","4.46","-2.07","22.9","-12.6","3.53","-3.19","27"
"3",="4966","譜瑞-KY","854","2016","91.1","+26.7","37.4","+28.9","13.6","+18.5","41.1","+0.72","14.9","-1.03","18.04","+2.74","19.4","+0.16","15","-0.51","68"
"4",="6488","環球晶","365","2016","184","+20.4","41.3","+1.4","9.39","-54","22.4","-4.19","5.1","-8.25","2.54","-3.26","5.77","-7.89","2.23","-6.82","40"
"5",="3293","鈊象","521","2016","33.2","+73.1","26.7","+70.5","8.9","+190","80.5","-1.26","26.8","+10.9","12.78","+8.38","28.9","+17.8","22.9","+13.7","83"
"6",="6409","旭隼","760","2016","81.2","+1.01","24.9","+1.99","14.3","+0.82","30.6","+0.3","17.6","-0.03","18.25","-0.8","34.2","-3.73","21.2","-2.72","68"
"7",="6415","矽力-KY","1370","2016","71.4","+51.9","34","+55.9","14.7","+22.3","47.6","+1.25","20.6","-4.97","18.72","+3.06","23","-6.63","18.2","-7.8","83"
"8",="1565","精華","358","2016","64.6","+10.2","27.6","+27.4","17.8","+22.1","42.7","+5.77","27.5","+2.68","35.26","+6.38","36.4","+3.78","25.6","+3.12","84"
"9",="3406","玉晶光","475","2016","70.3","-22.3","17.5","+139","-1.54","+86.4","24.8","+16.8","-2.43","+10.3","-1.54","+9.76","-2.59","+12.9","-1.33","+6.35","36"
"10",="5274","信驊","1415","2016","13.5","+35.6","7.67","+38.3","4.46","+31.2","57","+1.13","33.1","-1.11","14.07","+3.28","30.2","-5.32","23.3","-6.92","89"
"11",="2227","裕日車","258.5","2016","349","+4.94","50.5","-4.87","46.3","+11.2","14.5","-1.49","13.3","+0.74","15.44","+1.55","21.3","+4.24","15.2","+2.89","62"
