"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="3008","大立光","3840","2010","124","+51.5","58.1","+62.4","40.4","+62.7","47","+3.16","32.7","+2.26","30.15","+11.5","26.9","+7.49","23.3","+6.37","89"
"2",="6669","緯穎","840","-","","","","","","","","","","","","","","","","",""
"3",="4966","譜瑞-KY","854","2010","15.9","+124","6.79","+123","2.72","+3236","42.6","-0.29","17","+15.9","23.19","+22.3","47.2","+45.4","35.3","+34","73"
"4",="6488","環球晶","365","-","","","","","","","","","","","","","","","","",""
"5",="3293","鈊象","521","2010","29.2","-13.7","23","-13.1","8.19","-34.2","78.8","+0.53","27.8","-8.38","11.86","-7.1","27.2","-19.8","21.9","-16","89"
"6",="6409","旭隼","760","2010","26.4","","5.8","","1.93","","22","","7.3","","5.41","","30.9","","12.4","","55"
"7",="6415","矽力-KY","1370","2010","2.11","","0.89","","-0.65","","42.4","","-30.7","","-7.5","","-83.9","","-29.9","","34"
"8",="1565","精華","358","2010","31","+29.5","16.6","+17.5","8.72","+39.8","53.6","-5.49","28.1","+2.06","17.3","+4.92","38","+7","26.3","+4.66","82"
"9",="3406","玉晶光","475","2010","45.6","+315","11.7","+3030","4.65","+188","25.6","+29.2","10.6","+61.1","6.01","+12.9","16.2","+34.6","9","+22.5","53"
"10",="5274","信驊","1415","-","","","","","","","","","","","","","","","","",""
"11",="2227","裕日車","258.5","2010","275","+26.7","37.8","+103","28.8","+342","13.8","+5.17","10.5","+7.49","9.61","+7.43","17.8","+13.5","15","+11.3","53"
"12",="8299","群聯","276","2010","318","+30","33.3","-11.2","15.2","-26.5","10.5","-4.86","4.77","-3.67","8.57","-5.76","17.9","-13.1","11.2","-8.72","51"
"13",="2207","和泰車","512","2010","1,109","+9.07","124","+16.7","48.5","+48.1","11.2","+0.73","4.93","+1.4","8.89","+2.89","21.4","+5.74","6.99","+1.86","43"
"14",="6121","新普","309","2010","387","+13","70","+18.6","33.3","+35.4","18.1","+0.85","8.5","+1.4","13.06","+2.39","26.3","+3.95","14.7","+2.03","51"
"15",="3533","嘉澤","396.5","2010","71.9","+68.2","26.5","+87.7","12.5","+109","36.9","+3.83","17.4","+3.41","14.62","+6.81","33.4","+4.89","21.5","+5.34","68"
"16",="3563","牧德","332.5","2010","3.63","+113","2.1","+132","0.64","+416","57.8","+4.84","17.8","+10.4","2.86","+2.31","20.3","+16","15.3","+11.7","64"
"17",="5904","寶雅","592","2010","","","","","2.86","+46.2","","","","","3.26","+0.57","","","","",""
"18",="5536","聖暉","210.5","2010","62.5","+35.8","12.2","+103","7.26","+186","19.6","+6.49","11.6","+6.1","19.32","+11.8","50.2","+17.9","19.4","+9","62"
"19",="6510","精測","613","-","","","","","","","","","","","","","","","","",""
"20",="4137","麗豐-KY","189","-","","","","","","","","","","","","","","","","",""
