"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="3008","大立光","3840","2017","531","+9.88","369","+13.7","260","+14.3","69.4","+2.32","48.9","+1.88","193.65","+24.2","30.7","-1.73","24.4","-0.72","89"
"2",="6669","緯穎","840","2017","857","+170","42.4","+148","12.1","+288","4.95","-0.44","1.41","+0.43","11.7","+7.24","50.1","+27.2","6.48","+2.94","36"
"3",="4966","譜瑞-KY","854","2017","104","+13.7","41.9","+12","19.3","+42.4","40.4","-0.61","18.7","+3.77","25.49","+7.45","24.3","+4.9","18.9","+3.91","73"
"4",="6488","環球晶","365","2017","462","+151","118","+186","52.7","+461","25.6","+3.14","11.4","+6.32","12.68","+10.1","21.2","+15.4","8.07","+5.84","55"
"5",="3293","鈊象","521","2017","33.1","-0.18","28.3","+5.75","9.07","+1.85","85.3","+4.79","27.4","+0.54","12.97","+0.19","25.8","-3.04","20.5","-2.42","83"
"6",="6409","旭隼","760","2017","98.6","+21.5","26.9","+8.41","13.6","-4.53","27.3","-3.29","13.8","-3.76","17.46","-0.79","32.2","-1.97","19","-2.19","59"
"7",="6415","矽力-KY","1370","2017","86","+20.5","41","+20.7","18.1","+23","47.7","+0.1","21","+0.44","21.2","+2.48","19.3","-3.69","15.8","-2.42","81"
"8",="1565","精華","358","2017","64.2","-0.63","25.4","-7.69","15.9","-10.6","39.6","-3.03","24.8","-2.76","31.52","-3.74","30.1","-6.31","19.9","-5.63","77"
"9",="3406","玉晶光","475","2017","80.1","+13.9","32.7","+87.2","10.5","+781","40.8","+16","12.9","+15.3","10.5","+12","15","+17.6","8.77","+10.1","53"
"10",="5274","信驊","1415","2017","18.9","+40.8","11","+43","5.31","+19.2","57.9","+0.9","28","-5.08","15.7","+1.63","26.7","-3.46","20.1","-3.19","82"
"11",="2227","裕日車","258.5","2017","332","-4.7","61.8","+22.5","66.4","+43.4","18.6","+4.14","20","+6.71","22.14","+6.7","31.1","+9.79","23.9","+8.73","64"
"12",="8299","群聯","276","2017","419","-4.38","115","+24.1","57.6","+18.4","27.5","+6.31","13.8","+2.79","29.23","+4.56","23.5","+1.44","17.2","+1.27","64"
"13",="2207","和泰車","512","2017","1,791","+2.17","255","+5.81","101","-5.81","14.2","+0.49","6.46","-0.42","18.52","-1.14","21.9","-3.1","6","-1.04","43"
"14",="6121","新普","309","2017","583","+0.28","51.3","-12.4","26.2","-6.52","8.8","-1.27","4.54","-0.28","10.18","+1.09","12.5","-0.63","5.91","-0.47","40"
"15",="3533","嘉澤","396.5","2017","105","+18.3","33.9","+20.3","9.56","+38.5","32.3","+0.55","9.37","+2.07","10.23","+2.85","12","+3.92","8.84","+2.78","53"
"16",="3563","牧德","332.5","2017","14.2","+75.5","9.1","+82.2","4.63","+133","64","+2.35","32.5","+7.68","10.86","+6.19","37.2","+18.4","27.7","+12.6","83"
"17",="5904","寶雅","592","2017","133","+6.75","56.8","+11.2","14.3","+22.2","42.8","+1.71","10.8","+1.36","14.63","+2.5","42.2","+2.42","20.4","+1.15","59"
"18",="5536","聖暉","210.5","2017","114","+36.1","20.4","+56","8.42","+93","17.9","+2.28","8.59","+3.19","18.17","+8.72","24.4","+10.3","9.61","+4.29","47"
"19",="6510","精測","613","2017","31.1","+19.8","17.2","+27.2","7.36","+21.8","55.4","+3.21","23.7","+0.38","23.51","+3.47","17.4","-14.1","13.8","-7.13","80"
"20",="4137","麗豐-KY","189","2017","32.9","-2.08","26.7","-1.17","5.83","-20.2","81","+0.74","17.7","-4.03","7.41","-1.78","16.6","-2.91","10.6","-2.02","72"
"21",="3611","鼎翰","192.5","2017","37.1","+7.81","16.7","+7.28","6.18","+13.3","45.2","-0.22","16.7","+0.81","16.02","+1.87","25.9","-1.17","12","-0.21","64"
"22",="8070","長華","157","2017","141","+29.1","19.9","+106","8.72","+10.9","14.1","+5.25","7.88","+0.2","13.64","+2.27","15.4","+2.08","8.76","+1.59","49"
