"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1091",="2511","太子","9.68","2013","172","-32.7","47","-54","16.5","-74.9","27.3","-12.6","9.49","-16.2","1.3","-4.38","9.16","-31.1","3.22","-9.92","32"
"1092",="6229","研通","12.7","2013","8.67","+15.7","1.23","-1.55","0.32","+229","14.2","-2.49","3.69","+2.39","0.9","+0.63","7.11","+4.9","5.29","+3.59","55"
"1093",="8426","紅木-KY","13","2013","18.6","+13.8","6.16","+18.1","2.3","+38.3","33.1","+1.22","12.4","+2.19","5.48","+1.51","28.3","+5.88","16.1","+2.9","64"
"1094",="8463","潤泰材","37.9","2013","27.4","","3.32","","1.56","","12.1","","7.74","","2.16","","23.5","","4.6","","45"
"1095",="3550","聯穎","11.85","2013","41.7","+2.09","6.16","+15","0.91","+448","14.8","+1.66","2.32","+2.83","1.07","+1.38","4.37","+5.31","2.54","+3.09","43"
"1096",="5340","建榮","41.1","2013","11.6","+6.48","-0.63","-9999","-1.68","-60.9","-5.4","-5.34","-14.5","-4.9","-0.86","-0.32","-11.1","-4.76","-7.44","-3.04","30"
"1097",="5450","寶聯通","14.8","2013","6.58","+87","1.57","+37.1","-0.27","-448","23.8","-8.67","-4.11","-2.7","-0.54","-0.44","-4.42","-3.63","-3.4","-2.72","45"
"1098",="5902","德記","11.3","2013","18.9","+43.9","2.01","+31.1","0.2","+2364","10.6","-1.04","1.07","+1","0.21","+0.2","3.36","+3.22","1.7","+1.64","36"
"1099",="8096","擎亞","11.95","2013","110","-60.9","3.3","-68","-1.55","-172","3","-0.67","-1.61","-2.36","-1.27","-3.12","-7.53","-15.9","-4.63","-8.65","26"
"1100",="2002","中鋼","19.6","2013","3,478","-2.93","377","+94.5","160","+171","10.8","+5.43","5.28","+3.48","1.05","+0.66","5.9","+3.81","2.81","+1.77","38"
"1101",="3499","環天科","11.35","2013","4.59","-33.9","1.15","-30.4","-1.05","-350","25.1","+1.26","-22.8","-19.4","-1.9","-1.46","-14.8","-11.7","-9.47","-7.52","40"
"1102",="4906","正文","21.2","2013","199","-24.6","23.2","-31.6","4.56","-50.6","11.6","-1.19","2.29","-1.2","1.48","-1.53","5.13","-5.68","2.58","-2.76","45"
"1103",="5515","建國","10.2","2013","64.7","-18.8","4.74","+170","10.8","+154","7.34","+5.13","16.7","+11.3","3.03","+1.83","19.1","+10.6","10.2","+6.48","51"
"1104",="5864","致和證","7.81","2013","1.95","-59.1","1.84","-60.5","-1.64","-155","94.4","-3.33","-84.3","-147","-0.77","-2.2","-5.46","-15.1","-4","-11.3","30"
