"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="3008","大立光","3840","2019","607","+21.6","419","+22.1","283","+16","69","+0.27","46.5","-2.26","210.7","+29","24.2","-0.21","19.7","+0.12","87"
"2",="6669","緯穎","840","2019","1,636","-9.65","113","+6.59","61.7","+10.6","6.94","+1.06","3.77","+0.69","36.42","-1.58","39.8","-41.1","16.2","-4.47","41"
"3",="4966","譜瑞-KY","854","2019","118","+14","50.4","+17.3","24.3","+23.6","42.7","+1.23","20.6","+1.6","31.54","+5.87","23.2","+1.44","18.9","+1.45","84"
"4",="6488","環球晶","365","2019","581","-1.64","228","+2.46","136","+0.1","39.3","+1.57","23.5","+0.39","31.35","+0.17","30.9","-4.41","14.6","-2.41","74"
"5",="3293","鈊象","521","2019","52.9","+72.5","49","+81.7","19.8","+125","92.6","+4.7","37.4","+8.66","28.08","+15.6","45.1","+21.4","35.1","+15.8","89"
"6",="6409","旭隼","760","2019","129","+13.4","37.9","+21.9","21.3","+17.5","29.3","+2.04","16.5","+0.58","25.87","+2.69","45.7","+3.64","22.9","-0.48","61"
"7",="6415","矽力-KY","1370","2019","108","+14.5","51.2","+16.3","23.3","+27.1","47.5","+0.75","21.6","+2.14","25.83","+5.05","16.5","+0.96","15.2","+1.15","83"
"8",="1565","精華","358","2019","63.5","-4.93","21.3","-14.8","12.9","-22.8","33.5","-3.88","20.3","-4.7","25.53","-7.54","22.2","-7.53","15","-4.22","68"
"9",="3406","玉晶光","475","2019","120","+52.2","56.5","+84.4","25.2","+170","47","+8.2","21","+9.54","24.79","+15.4","23.5","+11.7","15","+7.78","74"
"10",="5274","信驊","1415","2019","24.8","+15.4","15.7","+21.8","8.31","+21.2","63.2","+3.35","33.5","+1.61","24.39","+4.19","33.5","+2.37","26.6","+1.63","91"
"11",="2227","裕日車","258.5","2019","325","+3.97","48.5","-8.98","72.8","+23.6","14.9","-2.12","22.4","+3.56","24.27","+4.64","34.6","+6.37","26.6","+3.93","61"
