"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="3008","大立光","3840","2014","458","+67","245","+89.2","194","+102","53.5","+6.28","42.4","+7.4","144.91","+73.3","50.7","+14.8","39","+11.5","89"
"2",="6669","緯穎","840","2014","45.8","","5.59","","0.8","","12.2","","1.76","","2.44","","12.8","","4.11","","41"
"3",="4966","譜瑞-KY","854","2014","62.3","+47.8","25.7","+40.3","12.3","+80.5","41.3","-2.22","19.7","+3.57","16.48","+7.23","26","+7.39","21.3","+6.07","80"
"4",="6488","環球晶","365","2014","159","+2.26","37.3","+1.77","21","+7.54","23.4","-0.11","13.2","+0.65","6.6","+0.46","15.9","+1.08","9.87","+0.62","55"
"5",="3293","鈊象","521","2014","16.5","+7.18","13.6","+6.61","2.28","+93.4","82.4","-0.44","13.7","+6.31","3.28","+1.58","8.56","+4.37","7.31","+3.74","70"
"6",="6409","旭隼","760","2014","67.2","+22.4","17.6","+33.1","9.95","+63","26.2","+2.1","14.8","+3.69","14.33","+4.13","37","+1.13","22","+2.96","66"
"7",="6415","矽力-KY","1370","2014","32.7","+56.8","14.9","+47.8","8.01","+51","45.5","-2.78","24.5","-0.94","10.55","+0.96","25.8","-2.64","23.4","-2.2","83"
"8",="1565","精華","358","2014","54.1","+3.62","23.3","+1.77","15.7","-1.57","43.1","-0.78","29.1","-1.53","31.2","-0.5","38.3","-7.03","25","-3.08","82"
"9",="3406","玉晶光","475","2014","104","+8.02","9.49","+14.5","-6.93","-90.6","9.15","+0.52","-6.81","-2.99","-6.95","-3.21","-8.55","-3.84","-4.77","-2.28","28"
"10",="5274","信驊","1415","2014","8.56","+44.9","4.71","+47.2","2.81","+64.2","55","+0.86","32.8","+3.85","10.72","+3.32","35.8","+5.59","30.1","+4.67","93"
"11",="2227","裕日車","258.5","2014","332","+5.37","43.2","-20.7","65.2","-10.6","13","-4.28","19.7","-3.52","21.75","-2.58","25.1","-6.87","18.2","-5.14","62"
"12",="8299","群聯","276","2014","331","+2.8","55.9","-2.28","32","+0.97","16.9","-0.88","9.68","-0.18","17.48","-0.09","21","-3.14","15","-2.03","55"
"13",="2207","和泰車","512","2014","1,602","+9.39","199","+8.91","92","+20.2","12.4","-0.05","6.42","+0.53","16.84","+2.83","25.9","+2.24","7.24","+0.51","40"
"14",="6121","新普","309","2014","600","+9.65","67.8","+9.93","33.9","+4.66","11.3","+0.03","5.71","-0.2","10.98","+0.48","17.4","-0.45","7.95","-0.57","45"
"15",="3533","嘉澤","396.5","2014","83","+3","28.3","+13.8","10.8","+48.6","34.1","+3.24","12.9","+4.06","11.53","+3.77","14.7","+3.62","10.5","+3.06","60"
"16",="3563","牧德","332.5","2014","6.54","-8.68","3.63","-16","1.72","-16.3","55.4","-4.83","26.3","-2.39","4.03","-1.34","16.9","-8.56","13.9","-6.36","77"
"17",="5904","寶雅","592","2014","91.7","+26.5","37.1","+29.1","7.72","+38.2","40.5","+0.82","8.43","+0.72","8.22","+2.19","34.9","+5.63","17.4","+1.96","55"
"18",="5536","聖暉","210.5","2014","75.8","-12.4","6.22","-40.1","0.95","-79.7","8.21","-3.79","1.17","-4.21","2.06","-8.05","3.2","-13.1","1.28","-5.42","38"
"19",="6510","精測","613","2014","10.6","+50.9","5.07","+74","1.96","+251","47.6","+6.31","18.4","+10.5","8.35","+5.73","36.2","+18.4","22.2","+11.4","70"
"20",="4137","麗豐-KY","189","2014","30.7","+13.7","24.8","+17.1","7.56","+9.03","80.7","+2.33","24.6","-1.05","9.51","-0.74","24","-11","17.3","-4.74","81"
