"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"32",="3665","貿聯-KY","184.5","2012","58","+3.64","14.6","+14","2.88","+89.7","25.1","+2.29","4.96","+2.25","4.19","+1.78","11.2","+4.1","6.85","+2.75","49"
"33",="2729","瓦城","225","2012","19.1","+24.7","10","+20.3","1.83","+10.3","52.4","-1.93","9.6","-1.25","9.45","+0.03","17.3","-28.1","13.9","-14.4","74"
"34",="5278","尚凡","129.5","2012","2.99","","2.63","","0.95","","87.8","","31.6","","7.93","","52.2","","37.4","","88"
"35",="8464","億豐","247.5","-","","","","","","","","","","","","","","","","",""
"36",="8437","大地-KY","188.5","-","","","","","","","","","","","","","","","","",""
"37",="2404","漢唐","197","2012","91.6","-37.3","11.9","-26.9","5.41","-35.6","13","+1.86","5.76","-0.03","2.28","-1.19","11.1","-5.59","4.99","-3.28","43"
"38",="2454","聯發科","442","2012","993","+14.3","411","+4.36","156","+14.4","41.4","-3.93","15.7","-0.02","12.81","+0.46","10.6","-1.29","8.68","-0.85","68"
"39",="6613","朋億","152","-","","","","","","","","","","","","","","","","",""
"40",="2474","可成","205","2012","370","+3.1","160","-5.01","108","+1.26","43.3","-3.7","29.2","-0.45","14.41","-0.52","18.4","-5.58","11.4","-3.11","77"
"41",="1590","亞德客-KY","543","2012","57","+1.06","29.8","+2.2","10.7","-20.7","52.4","+0.58","19","-5.38","6.67","-2.33","19.4","-7.96","11.6","-6.43","62"
"42",="5287","數字","226.5","2012","8.46","+42.6","6.23","+16.8","2.98","+16.2","73.7","-16.3","35.3","-8.01","10.65","-3.96","48.4","-7.18","24.8","-1.82","87"
"43",="1264","德麥","218","2012","18.6","+18.9","6.88","+19.8","2.36","+6.61","37","+0.29","12.9","-1.35","11.26","+0.23","37.6","-5.21","26.3","-0.2","64"
"44",="4439","冠星-KY","143.5","-","","","","","","","","","","","","","","","","",""
"45",="2492","華新科","184","2012","130","-48.1","3.76","-77.8","-13.8","-30.2","2.88","-3.86","-10.8","-6.99","-2","-0.46","-9.08","-4.69","-5.42","-3.18","30"
"46",="4420","光明","24.85","2012","6.11","","0.5","","0.22","-52.8","8.11","","3.58","","0.73","-0.83","4.22","","3.66","","50"
"47",="2379","瑞昱","246.5","2012","246","+12.4","101","+20.6","22.4","+40.4","41.1","+2.78","9.09","+1.81","4.5","+1.26","12.8","+3.45","8.62","+1.79","60"
"48",="2330","台積電","292","2012","5,067","+18.7","2,441","+25.8","1,663","+23.9","48.2","+2.72","32.8","+1.3","6.42","+1.24","24.5","+2.31","19.1","+1.13","89"
"49",="6414","樺漢","184","2012","22.7","+61.9","4.13","+83.1","1.74","+70.4","18.2","+2.1","7.66","+0.38","3.45","+1.29","22.5","+7.07","14","+3.58","50"
"50",="3034","聯詠","198.5","2012","370","+5.58","104","+16.3","44.4","+20.1","28","+2.59","12","+1.45","7.36","+1.2","19.6","+2.88","11.8","+1.74","60"
"51",="8406","金可-KY","152","2012","38.1","+22.2","24.3","+22.7","10.5","+38.1","64","+0.31","27.6","+3.2","12.09","+2.58","23","-6.07","17.1","+0.04","77"
"52",="5289","宜鼎","183.5","2012","23.7","+13.2","6.31","+5.12","2.38","-11.5","26.6","-2.04","10.1","-2.76","5.14","-2.36","23","-13.9","17.5","-9.22","66"
"53",="6176","瑞儀","100.5","2012","762","+20.1","88.7","+31.5","51.1","+16.5","11.6","+1.01","6.71","-0.21","11.33","+1.32","26.3","+0.16","10.9","-0.26","51"
"54",="6462","神盾","188","2012","1.39","","1.11","","-2.04","","79.4","","-146","","4.1","","-73.4","","-62.6","","51"
"55",="2439","美律","130","2012","76.9","-1.95","14.6","+21.3","4.82","+53","19","+3.64","6.23","+2.41","2.91","+0.91","10.9","+4.04","6.35","+2.37","49"
"56",="1537","廣隆","141.5","2012","59","+22.2","12.7","+75.2","6.16","+95.6","21.5","+6.52","10.7","+3.95","7.56","+3.66","27.1","+11.8","18.7","+8.37","55"
"57",="6803","崑鼎","214","2012","35.4","+0.85","10.1","+12.2","6.55","+19.9","28.6","+2.9","21.2","+3.48","11","+1.56","21.7","-3.36","11.1","-0.48","64"
"58",="2929","淘帝-KY","56.8","2012","27.9","+18.9","10.6","+17.5","3.7","+22.3","38.1","-0.45","13.2","+0.37","8.21","+1.5","45.9","-1.98","23.3","+0.96","57"
"59",="3324","雙鴻","160","2012","46.5","+15.4","6.6","+24.9","1.31","-21.8","14.2","+1.08","2.81","-1.3","2.11","-0.9","12.4","-8.23","4.82","-2.94","32"
"60",="5871","中租-KY","111.5","2012","214","+27.7","119","+37.6","37.9","+54.7","55.6","+4.01","18.8","+3.12","4.25","+0.9","19","+1.82","2.67","+0.36","49"
"61",="4803","VHQ-KY","69.6","-","","","","","","","","","","","","","","","","",""
"62",="3044","健鼎","108.5","2012","391","-4.35","66.2","-18","29.2","-30.6","16.9","-2.81","7.4","-2.92","5.55","-2.45","12.1","-7.15","6.42","-3.14","47"
"63",="2548","華固","91.8","2012","77.8","-8.41","31.7","-7.06","26.4","-5.63","40.7","+0.59","33.9","+0.98","9.57","-0.81","22.3","-2.4","10.4","-1.41","66"
"64",="1558","伸興","130.5","2012","50.6","+6.44","12.3","+4.91","5.88","-3.19","24.4","-0.35","11.6","-1.14","11.7","-0.94","25.6","-5.01","16.5","-2.93","60"
"65",="3131","弘塑","227","2012","15.7","+41.7","5.89","+50.1","2.74","+41.7","37.5","+2.1","17.5","0","12.46","+3.64","43.2","+5.31","16.6","+1.16","66"
"66",="5534","長虹","82.3","2012","55.9","+6.45","29.5","+5.21","20.3","-11","52.8","-0.62","36.3","-7.12","8.21","-1.14","24.8","-1.61","11","-2.59","70"
"67",="6569","醫揚","168","2012","","","","","","","","","","","","","","","","",""
"68",="8422","可寧衛","155","2012","26.2","+12.7","18","+9.4","14.6","+10.7","68.8","-2.08","55.6","-1.02","13.38","+0.35","33.3","-11.7","30.6","-9.33","94"
"69",="5283","禾聯碩","98.9","2012","34.9","-23.6","10.6","-9.7","0.68","+12.6","30.3","+4.67","1.78","+0.96","1.18","+0.14","5.72","+2.33","2.91","+1.36","36"
"70",="3105","穩懋","239.5","2012","112","+26.3","36.4","+29.7","15.5","+21.6","32.4","+0.85","13.8","-0.53","2.31","+0.27","12.7","-0.78","7.37","-0.27","62"
"71",="2707","晶華","138.5","2012","54.3","-1.22","21.7","+1.82","10.9","+12.6","39.9","+1.19","19.8","+2.66","11.27","+0.26","34","+3.64","17.5","+2.33","70"
"72",="2395","研華","277","2012","276","+4.23","108","+2.69","34.7","-2.28","39.2","-0.59","12.7","-0.84","6.24","-0.2","20.9","-3.46","15.3","-2.66","66"
"73",="6666","羅麗芬-KY","120.5","-","","","","","","","","","","","","","","","","",""
"74",="1439","中和","35.1","2012","7.4","","0.15","","-0.08","+89.5","2.08","","-1.13","","-0.09","+0.78","-0.39","","-0.37","","45"
"75",="8016","矽創","143","2012","51.8","+13.3","13.2","+11.4","3.53","+20.3","25.4","-0.44","6.19","+0.45","2.99","+0.51","9.24","+1.53","6.89","+1.3","53"
"76",="8446","華研","112","2012","6.6","+2.62","2.81","+22.6","0.76","+73.4","42.5","+6.92","11.6","+3.1","3.17","+1","29.3","+3.16","12","+0.65","66"
"77",="4766","南寶","137","-","","","","","","","","","","","","","","","","",""
"78",="2383","台光電","143","2012","160","+8.29","26.7","+10","11.3","+32.9","16.7","+0.26","7.1","+1.31","3.74","+0.87","19","+2.9","8.97","+1.58","40"
"79",="2912","統一超","299.5","2012","1,926","+1.77","632","+4.72","59.2","-6.88","32.8","+0.92","3.51","-0.27","5.69","-0.42","27.9","-2.13","8.63","-1.35","53"
"80",="1580","新麥","89.8","2012","34.6","+15.1","13.8","+15.3","4.02","-0.15","40","+0.08","11.9","-1.84","9.4","-0.49","32.7","-4.08","17.3","-2.72","55"
"81",="6269","台郡","103.5","2012","111","+46.5","30","+42.5","17.1","+48.3","27.1","-0.76","15.4","+0.19","9.17","+1.88","30.8","-2.21","15.6","-2.76","55"
"82",="6456","GIS-KY","107.5","2012","351","","12.6","","5.8","","3.59","","1.09","","41.43","","13.9","","1.3","","34"
"83",="8454","富邦媒","549","2012","177","+12.8","26.2","-1.77","5.57","-20","14.8","-2.19","2.85","-1.41","4.35","-1.68","23.4","-7.38","10.1","-3.93","55"
"84",="4958","臻鼎-KY","112","2012","554","+25","108","+54.1","40.6","+72.1","19.5","+3.67","7.33","+2","5.49","+1.85","21.3","+5.93","7.09","+2.21","49"
"85",="6643","M31","286","-","","","","","","","","","","","","","","","","",""
"86",="4438","廣越","123.5","-","","","","","","","","","","","","","","","","",""
"87",="2732","六角","142.5","2012","10.1","+92.4","5.51","+95.7","1.08","+107","54.6","+0.93","12.5","+1.76","10.03","-4.44","49.9","+7.87","26.2","+11.5","72"
"88",="1707","葡萄王","191","2012","46.1","+22.3","40.3","+23.7","6.08","+28.6","87.4","+0.98","18.1","+0.66","4.67","+1.04","32.2","+4.36","22.8","+3.02","83"
"89",="4536","拓凱","121","2012","62.7","+6.73","15.7","+10.7","4.44","-12.3","25.1","+0.9","6.89","-1.65","5.42","-0.76","14.8","-4.62","7.13","-2","49"
"90",="5288","豐祥-KY","95","2012","30.7","","5.69","","3.81","","18.6","","12.4","","6.79","","29.1","","18.3","","62"
"91",="5434","崇越","104.5","2012","162","+1.57","19.2","-1.55","8.03","-15.7","11.9","-0.38","4.97","-0.87","5.39","-1.01","16.8","-4.17","9.43","-2.1","45"
"92",="6452","康友-KY","151.5","-","","","","","","","","","","","","","","","","",""
"93",="8416","實威","115.5","2012","5.55","-6.5","3.39","-9.69","1.25","-21.8","61.1","-2.15","22.4","-4.38","5.2","-1.64","22.7","-12.5","18.1","-9.31","79"
"94",="6538","倉和","266.5","-","","","","","","","","","","","","","","","","",""
"95",="3152","璟德","303.5","2012","11.1","","4.86","","3.29","-2.85","43.7","","29.5","","4.76","-0.14","12.8","","12.1","","89"
"96",="9945","潤泰新","45","2012","121","-18","21.4","-23.8","29.9","+11.5","17.6","-1.34","25.9","+7.02","3.06","-0.38","13","-2.08","6.35","-1.37","40"
"97",="9941","裕融","99.5","2012","130","+57.5","44","+34","11.6","+18.6","33.9","-5.95","9.91","-3.39","4.94","+0.78","20.2","+1.09","2.32","-0.15","47"
"98",="4163","鐿鈦","130.5","2012","13.5","+15.9","4.29","+22.8","1.75","+53.6","31.8","+1.8","13","+3.18","4.67","+1.44","19.7","+1.68","9.68","+2.39","57"
"99",="8083","瑞穎","160","2012","8.99","","2.94","","1.57","+29.5","32.7","","17.4","","5.21","+1.19","28.3","","14.6","","60"
"100",="9921","巨大","236","2012","541","+14.2","111","+5.44","30","-0.39","20.6","-1.72","5.51","-0.89","8","-0.04","19.4","-1.92","8.16","-1.27","43"
"101",="3708","上緯投控","80.3","-","","","","","","","","","","","","","","","","",""
"102",="2345","智邦","217.5","2012","270","+3.89","41.8","-2.47","8.58","-0.45","15.5","-1.01","3.19","-0.15","1.65","-0.01","12.1","-0.16","6.16","-0.08","47"
"103",="6294","智基","108.5","2012","2.02","","0.57","","0.67","+576","28.4","","33.2","","4.36","+5.32","42.3","","21.2","","73"
"104",="8341","日友","267.5","2012","","","","","","","","","","","","","","","","",""
"105",="2308","台達電","138","2012","1,718","+5.72","421","+21.6","148","+34.5","24.5","+3.2","9.25","+1.88","6.13","+1.55","16.6","+3.35","8.45","+1.71","55"
"106",="6568","宏觀","123.5","-","","","","","","","","","","","","","","","","",""
"107",="8480","泰昇-KY","136","-","","","","","","","","","","","","","","","","",""
"108",="8081","致新","141","2012","46.7","-1.96","16.3","+8.71","7.07","+1.53","34.9","+3.42","14.9","+0.3","8.25","+0.13","17.4","-0.05","13.4","-0.54","64"
"109",="2428","興勤","85.6","2012","41.2","-4.2","9.59","+7.74","4.28","+6.17","23.3","+2.58","9.98","+0.02","3.36","+0.2","12","-1.2","8.19","-1.27","55"
"110",="1477","聚陽","135","2012","159","+4.92","31.6","+0.13","11.8","+5.83","19.9","-0.95","7.42","+0.06","7.17","+0.25","25.9","-1.21","15","-1.02","55"
"111",="2228","劍麟","85.6","2012","28.8","+12","7.65","-0.55","2.74","-10.4","26.6","-3.37","9.54","-2.38","4.44","-0.64","17.2","-3.03","11.5","-3.46","50"
"112",="3558","神準","107","2012","48.7","+25.2","12.8","+33.3","3","+73.4","26.2","+1.61","6.16","+1.71","7.26","+3.04","32.1","+10.4","12.9","+4.03","52"
"113",="3130","一零四","158","2012","21.2","-8.98","9.6","-4.86","1.92","-15.9","45.2","+1.96","9.08","-0.66","5.67","-1.04","16.6","-1.99","10.8","-1.66","61"
"114",="2458","義隆","91","2012","73.7","+35.3","30","+76.3","11.5","+143","40.7","+9.46","14.6","+7.06","2.96","+1.76","17.5","+10.6","13.8","+8.06","60"
"115",="9910","豐泰","185","2012","365","+2.56","68.7","+19.2","16.8","+17.3","18.8","+2.63","5.61","+1.05","3.14","+0.38","18.9","+3.46","9.56","+1.7","47"
"116",="2385","群光","79.5","2012","675","+11.2","107","+18.7","38.3","-7.82","15.8","+1","6.11","-1.11","6.03","-0.82","22.2","-3.81","9.28","-1.73","40"
"117",="3570","大塚","94.8","2012","6.09","+9.14","2.72","+8.38","0.6","-12.6","44.6","-0.32","9.85","-2.45","3.52","-0.57","13.7","-2.78","10.8","-2.5","59"
"118",="9914","美利達","166","2012","244","+20.9","38.7","+35","23.4","+28.7","15.9","+1.65","9.52","+0.54","8.2","+0.87","29.1","+1.82","15.2","+1.26","53"
"119",="2317","鴻海","73.6","2012","39,054","+13.1","2,502","-6.06","946","+16","6.41","-1.31","2.35","-0.03","8.02","+0.37","14.2","-0.37","4.85","-0.42","40"
"120",="5903","全家","235.5","2012","500","+4.45","174","+7.96","8.81","-12.3","34.9","+1.13","1.88","-0.33","3.95","-0.55","21.1","-2.14","5.35","-1.22","53"
"121",="8499","鼎炫-KY","104","-","","","","","","","","","","","","","","","","",""
"122",="6213","聯茂","131","2012","193","-3.51","25.1","+6.19","10.8","-4.07","13","+1.19","5.6","-0.03","3.34","-0.47","16.7","-2.1","7.22","-0.43","45"
"123",="6230","超眾","232","2012","53.5","+11.6","11.1","+42.5","4.06","+64.6","20.8","+4.52","7.6","+2.45","4.71","+1.85","17.2","+5.94","9.24","+3.29","51"
"124",="4190","佐登-KY","82.6","2012","12.5","","8.21","","0","","65.9","","12.8","","-148","","37.8","","7.26","","66"
"125",="4736","泰博","280","2012","24.2","+18.5","8","+6.17","1.62","-25.5","33.1","-3.83","5.78","-3.3","2.56","-0.84","6.96","-1.61","4.58","-1.49","51"
"126",="6596","寬宏藝術","49.9","-","","","","","","","","","","","","","","","","",""
"127",="2231","為升","152","2012","13.4","+23.1","5.17","+40.3","2.49","+89.8","38.6","+4.74","18.8","+6.6","4.13","+1.94","21.7","+9.82","16.8","+7.73","66"
"128",="4580","捷流閥業","97","-","","","","","","","","","","","","","","","","",""
"129",="5306","桂盟","116","2012","13.5","+680","4.07","+1713","2.56","+9999","30.1","+17.1","19.5","+18.6","2.48","+2.46","26","+25.8","17.7","+17.4","64"
"130",="5299","杰力","111","2012","8.89","","2.07","","0.58","","23.3","","6.47","","1.95","","12.9","","8.83","","43"
"131",="6472","保瑞","149","-","","","","","","","","","","","","","","","","",""
"132",="8279","生展","110","-","","","","","","","","","","","","","","","","",""
"133",="3413","京鼎","165.5","2012","26.8","+4.47","4.8","-0.46","-3.89","-79.8","17.9","-0.89","-14.5","-6.08","-3.6","-1.6","-123","-86.9","-12.8","-6.87","36"
"134",="6683","雍智科技","247","-","","","","","","","","","","","","","","","","",""
"135",="6561","是方","323","-","","","","","","","","","","","","","","","","",""
"136",="9802","鈺齊-KY","90","2012","59.9","-17.4","9.35","-26.9","2.86","-38.9","15.6","-2.04","4.8","-1.7","2.69","-2.75","6.5","-6.39","4.22","-3.46","49"
"137",="3548","兆利","62.6","2012","32.2","-3.62","6.73","+49.5","1.23","+602","20.9","+7.42","3.76","+3.25","2.42","+2.07","5.55","+4.74","3.5","+3","45"
"138",="5474","聰泰","88","2012","4.9","","1.55","","0.36","+834","31.6","","7.29","","1.06","+1.2","7.91","","5.63","","62"
"139",="8482","商億-KY","108","-","","","","","","","","","","","","","","","","",""
"140",="6491","晶碩","123.5","-","","","","","","","","","","","","","","","","",""
"141",="8210","勤誠","92","2012","39.7","+0.49","11.4","+11","4.78","+7.56","28.8","+2.73","12.1","+0.79","3.99","+0.13","22.5","-0.76","13","+0.07","61"
"142",="1582","信錦","81.1","2012","84.2","-0.3","19.6","+13.9","7.29","+44.3","23.3","+2.91","8.73","+2.45","5.29","+1.58","17.7","+3.66","9.78","+2.3","53"
"143",="4551","智伸科","143","2012","22.1","+166","4.83","+271","1.07","+124","21.9","+6.17","4.87","-0.92","1.65","-0.89","8.22","+4.41","5.04","+1.85","39"
"144",="9951","皇田","71.1","2012","21.2","+8.09","8.25","+14.8","3.29","+12.7","38.8","+2.27","15.5","+0.63","4.4","+0.5","29.2","+0.02","16.1","-0.03","61"
"145",="6239","力成","97","2012","416","+5.47","73.5","-23","36.1","-23.8","17.7","-6.53","9.91","-2.11","4.58","-1.35","10.4","-3.13","5.86","-1.47","55"
"146",="3023","信邦","146.5","2012","100","+12.2","21.5","+13.3","5.48","+22.7","21.5","+0.2","4.78","-0.51","2.93","+0.44","12.6","-1.16","5.5","-0.28","47"
"147",="4938","和碩","60.7","2012","8,812","+46.9","370","+37.2","63.8","+5632","4.2","-0.3","1.17","+0.62","2.83","+2.78","8.41","+5.59","2.97","+1.69","36"
"148",="6214","精誠","78.6","2012","143","+4.74","38.2","+10.5","3.03","+108","26.8","+1.39","1.75","+0.79","1.29","+0.68","1.94","+0.97","1.43","+0.68","49"
"149",="3529","力旺","329","2012","6.11","-5.1","6.11","+17.3","1.63","+6.4","99.9","+19.1","26.6","+2.88","2.15","+0.12","10.4","-1.34","9.84","-1.04","84"
"150",="6146","耕興","193.5","2012","19.1","-4.28","8.45","+2.23","3.94","-10.6","44.1","+2.81","20.9","-1.34","4.84","-0.7","20.9","-2.88","15.6","-3.16","70"
"151",="3376","新日興","128","2012","81.3","+4.15","23.5","+80.6","9.86","+173","28.9","+12.2","12.1","+7.48","6.04","+3.76","11.5","+6.72","7.36","+4.36","55"
"152",="6504","南六","241.5","2012","37","+5.14","6.8","+45.2","1.98","+41.7","18.4","+5.07","5.34","+1.38","3.2","+0.88","18.4","+1.69","6.32","+1.14","32"
"153",="1268","漢來美食","129.5","-","","","","","","","","","","","","","","","","",""
"154",="3661","世芯-KY","293","2012","26.7","+0.2","6.1","-5.21","0.22","-67.1","22.8","-1.31","0.82","-1.67","0.41","-0.82","1.43","-2.94","1.2","-2.38","50"
"155",="4119","旭富","144.5","2012","12.6","+21.7","3.99","+29.9","1.95","+117","31.6","+2","15.4","+6.76","3.96","+2.12","16.4","+8.43","12.6","+6.6","57"
"156",="8462","柏文","196.5","-","","","","","","","","","","","","","","","","",""
"157",="5546","永固-KY","65.3","-","","","","","","","","","","","","","","","","",""
"158",="1515","力山","74.2","2012","33.2","+31.3","6.98","+50.2","0.64","+154","21","+2.65","1.9","+6.56","0.35","+0.87","3.25","+9","1.31","+3.78","38"
"159",="4430","耀億","24","2012","20.6","+38.8","4.73","+35.8","1.23","+52.8","22.9","-0.5","5.96","+0.54","2.67","+0.76","8.81","+1.89","4.88","+1","41"
"160",="6278","台表科","116.5","2012","498","+7.36","35.8","-8.39","10.3","-22","7.19","-1.24","3.03","-1.27","4","-1.48","12.4","-5.46","4.82","-2.44","43"
"161",="4126","太醫","78.1","2012","14.4","","5.65","","3.15","-2.52","39.2","","21.9","","4.78","-0.61","19.4","","15.9","","77"
"162",="6274","台燿","134","2012","118","+7.42","16.8","+52.3","4.74","+160","14.2","+4.18","4.01","+2.36","2.01","+1.23","10.2","+6.09","4.77","+2.81","38"
"163",="1788","杏昌","108.5","2012","23.8","+11.8","4.42","+15.3","1.87","+31.7","18.6","+0.56","7.89","+1.47","5.33","+0.6","13.6","+1.57","8.79","+1.33","43"
"164",="8066","來思達","62.9","2012","9.61","","1.25","","0.04","+114","13","","1.75","","0.21","+0.47","7.68","","4.44","","34"
"165",="3596","智易","82.7","2012","150","-13.5","17.9","-8.6","3.57","-38.6","11.9","+0.64","2.67","-0.82","2.53","-1.62","7.75","-4.96","3.83","-2.38","34"
"166",="6672","騰輝電子-KY","87.9","-","","","","","","","","","","","","","","","","",""
"167",="4402","福大","5.02","2012","9.78","","-0.68","","-1.4","+27.8","-6.96","","-14.4","","-2.04","+1.51","-32.2","","-10.8","","20"
"168",="6641","基士德-KY","66.1","-","","","","","","","","","","","","","","","","",""
"169",="6111","大宇資","70.6","2012","2.04","-24.9","1.67","-27.7","-0.95","-34.8","82","-3.23","-43.8","-19.5","-2.56","-0.64","-26.2","-10.1","-14.6","-5.07","43"
"170",="4572","駐龍","82","-","","","","","","","","","","","","","","","","",""
"171",="6192","巨路","65.7","2012","67.5","-2.34","15.8","+3.08","6.74","+6.63","23.5","+1.23","9.98","+0.84","5.68","-0.17","21","-1","11.9","-0.47","55"
"172",="4107","邦特","130","2012","8.42","+10.8","2.94","+22.4","1.67","+29.6","34.9","+3.31","19.8","+2.87","2.12","+0.48","13.2","+2.88","10.2","+2.47","70"
"173",="2752","豆府","108","-","","","","","","","","","","","","","","","","",""
"174",="3004","豐達科","55.7","2012","12.5","","4.27","","1.79","+46.7","34","","14.3","","4.37","+1.37","24.3","","8.7","","53"
"175",="3479","安勤","66.8","2012","35","+14.5","8.57","+28.9","2.25","+88.5","24.5","+2.72","6.66","+2.61","4.88","+2.19","20.3","+8.2","11.4","+4.74","57"
"176",="2377","微星","102.5","2012","671","-14.8","75.1","-5.24","8.58","+163","11.2","+1.12","1.28","+0.86","0.99","+0.67","3.83","+2.47","2.23","+1.48","43"
"177",="2348","海悅","60.5","2012","1.35","","0.02","","-6.91","-6646","1.84","","-514","","-52.32","-52.5","-3932","","-1025","","28"
"178",="5263","智崴","114.5","2012","2.86","","1.57","","0.52","+41.3","54.8","","18.1","","2.28","+0.54","11.9","","8.93","","66"
"179",="3653","健策","205.5","2012","32.9","-11.6","8.1","-16.9","2.41","-48.3","24.6","-1.56","7.32","-5.21","2.26","-2.74","5.48","-6.12","4.53","-4.45","51"
"180",="4763","材料-KY","123.5","2012","5.33","","0.79","","0.23","","14.9","","4.3","","0.57","","7.42","","4.91","","45"
