"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="3008","大立光","3840","2012","201","+25.6","83.6","+20.5","55.8","+7.37","41.7","-1.75","27.8","-4.72","41.61","+2.85","26.1","-2.66","19.9","-3.78","81"
"2",="6669","緯穎","840","-","","","","","","","","","","","","","","","","",""
"3",="4966","譜瑞-KY","854","2012","47.8","+105","24.6","+120","12.8","+184","51.4","+3.41","26.9","+7.45","17.85","+6.37","46.4","+15.6","37.8","+13.9","89"
"4",="6488","環球晶","365","-","","","","","","","","","","","","","","","","",""
"5",="3293","鈊象","521","2012","21","-31.6","17.3","-30.2","3.17","-65.7","82.5","+1.67","14.8","-15.2","4.57","-8.78","10","-18.8","8.14","-14.9","70"
"6",="6409","旭隼","760","2012","47.6","+38.4","10.7","+62.9","5.2","+86","22.4","+3.38","10.9","+2.79","9.66","+3","41.9","+8.56","20.8","+5.84","61"
"7",="6415","矽力-KY","1370","2012","13.7","+186","7.17","+240","3.88","+569","52.3","+8.24","28.3","+45.5","11.52","+19.6","82.2","+180","39.9","+57.3","80"
"8",="1565","精華","358","2012","41.7","+20.5","18.5","+10.3","12.1","+13.2","44.3","-4.1","29","-1.87","23.96","+2.8","40.3","-0.04","26.5","-1.9","80"
"9",="3406","玉晶光","475","2012","114","+35.2","26.2","+21.6","8.06","-14.1","23","-2.58","7.01","-4.27","9.04","-1.88","11.7","-7.72","6.11","-4.65","47"
"10",="5274","信驊","1415","2012","4.84","","2.69","","1.36","+50.6","55.6","","28","","6.5","+1.73","31.9","","26","","86"
"11",="2227","裕日車","258.5","2012","291","-9.28","36.7","-22.5","49.4","+28.9","12.6","-2.14","17","+5.02","16.46","+3.69","24.6","+3.72","19","+2.13","64"
"12",="8299","群聯","276","2012","331","+2.3","50.3","+10.9","26.9","+2.95","15.2","+1.18","8.14","+0.05","14.99","+0.31","23.3","-3.25","16.4","-1.54","57"
"13",="2207","和泰車","512","2012","1,385","+8.94","160","+7.56","75.4","+14.4","11.6","-0.15","6.13","+0.26","13.8","+1.74","25.8","+0.2","7.63","-0.37","43"
"14",="6121","新普","309","2012","588","+22.3","70.9","+2.99","33","-10.5","12","-2.26","5.61","-2.04","10.7","-2.46","19.8","-5.29","9.99","-3.37","45"
"15",="3533","嘉澤","396.5","2012","85.7","+10.7","27.3","+22.2","9.48","+1.94","31.9","+3","11","-0.98","10.14","+0.19","16","-1.16","11.1","-1.33","53"
"16",="3563","牧德","332.5","2012","4.79","-11.1","2.75","-13.5","1.42","-2.99","57.3","-1.57","29.5","+2.48","4.19","-0.57","24.6","-7.55","19","-5.08","74"
"17",="5904","寶雅","592","2012","62.7","","23.7","","4.26","+26.7","37.7","","6.79","","4.67","+0.91","23.8","","13.1","","50"
"18",="5536","聖暉","210.5","2012","82.8","-2.99","13.7","+23.3","6.96","+24.4","16.5","+3.52","8.41","+1.85","15.09","+1.79","26.2","+0.62","10.3","+0.56","49"
"19",="6510","精測","613","-","","","","","","","","","","","","","","","","",""
"20",="4137","麗豐-KY","189","2012","12.6","","11","","3.35","","87.1","","26.5","","5.02","","33.8","","17.2","","80"
"21",="3611","鼎翰","192.5","2012","18.1","+7.77","7.8","+10.9","3.02","-2.01","43.2","+1.22","16.7","-1.67","8.89","-0.3","28.2","-4.11","16.9","-2.43","68"
"22",="8070","長華","157","2012","163","+2.8","15.5","+45.9","6.15","+3264","9.49","+2.8","4.34","+4.32","9.35","+9.06","18.6","+18.5","6.99","+6.95","36"
"23",="8436","大江","254","2012","11.5","+19.9","4.16","+7.89","1.34","+43.8","36.1","-4.03","11.6","+1.82","4.53","-0.17","23.5","-2.75","11.4","-0.16","64"
"24",="6670","復盛應用","172","-","","","","","","","","","","","","","","","","",""
"25",="2915","潤泰全","67.1","2012","92.4","+0.67","34.4","-8.43","33.2","+37","37.2","-3.7","46","+7.36","4.08","+0.65","13.8","-2.64","9.35","-1.36","60"
"26",="2059","川湖","320","2012","35.9","+37.2","18.2","+42.5","10.6","+17.8","50.8","+1.88","29.5","-4.85","11.46","+1.71","24.6","+0.82","17.4","+1.41","84"
"27",="2327","國巨","371.5","2012","238","-4.65","50.3","-5.18","11.1","-33.3","21.1","-0.12","4.79","-1.98","0.5","-0.26","3.41","-1.75","2.37","-1.07","47"
"28",="2357","華碩","204.5","2012","4,487","+16.8","611","+16.7","225","+35.5","13.6","-0.01","5.02","+0.64","29.84","+7.85","18.5","+3.33","9.17","+1.12","40"
"29",="1256","鮮活果汁-KY","203.5","2012","13","+30.9","2.95","+52.7","0.93","+11.9","22.7","+3.24","7.19","-1.22","5.66","+0.12","26.5","-10.7","14.2","-4.16","59"
"30",="5269","祥碩","1170","2012","16.1","+11","6.46","+15.2","2.18","+0.28","40.3","+1.47","13.6","-1.45","4.22","-0.86","24.7","-25.3","19.2","-11.4","70"
"31",="1476","儒鴻","294.5","2012","136","+27.4","37.8","+40.8","17.9","+51.6","27.8","+2.65","13.2","+2.12","7.75","+2.15","32.5","+3.36","20.6","+3.04","60"
