"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1",="9188","精熙-DR","05/22","2.51","-0.07","-2.71","2010","8.76","","0.46","0","0.46","5.31","0","5.31","","","",""
"2",="6523","達爾膚","05/22","63.3","-0.8","-1.25","-","","","","","","","","","","","",""
"3",="1439","中和","05/22","35.1","+0.3","+0.86","2010","41","0.3","0","0","0","0","0","0","0","0","0",""
"4","00837B","永豐15年金融債","05/22","36.22","+0.64","+1.8","-","","","","","","","","","","","",""
"5",="6125","廣運","05/22","16.8","-0.05","-0.3","2010","24.3","0.11","0.5","0.5","1","2.06","2.06","4.12","455","455","909",""
"6",="2020","美亞","05/22","17.7","-0.1","-0.56","2010","25.05","0.82","0.45","1","1.45","1.8","3.99","5.79","54.9","122","177",""
"7",="6186","新潤","05/22","29.8","-0.05","-0.17","2010","16.15","0.09","0","0","0","0","0","0","0","0","0",""
"8",="1465","偉全","05/22","15.2","-0.05","-0.33","2010","17.6","0.42","0.5","0","0.5","2.84","0","2.84","119","0","119",""
"9",="6292","迅德","05/22","35.9","+0.15","+0.42","2010","33.8","2.08","1.6","0","1.6","4.73","0","4.73","76.9","0","76.9",""
"10",="5604","中連貨","05/22","58.1","+0.5","+0.87","2010","28.95","1.31","1.18","0","1.18","4.08","0","4.08","90.2","0","90.2",""
"11",="8066","來思達","05/22","62.9","-0.4","-0.63","2010","16.95","-1.57","0","0","0","0","0","0","0","0","0",""
"12",="2923","鼎固-KY","05/22","23.5","-0.65","-2.69","-","","","","","","","","","","","",""
"13",="3056","總太","05/22","32.1","-0.05","-0.16","2010","21.8","0.27","0","0","0","0","0","0","0","0","0",""
"14",="6197","佳必琪","05/22","32.15","-0.4","-1.23","2010","69.5","1.28","0.3","1","1.3","0.43","1.44","1.87","23.4","78.1","102",""
"15",="2527","宏璟","05/22","19.4","-0.1","-0.51","2010","19.15","0.5","0.3","0","0.3","1.57","0","1.57","60","0","60",""
"16",="5907","大洋-KY","05/22","23.75","-0.2","-0.84","-","","","","","","","","","","","",""
"17",="1611","中電","05/22","13.1","-0.2","-1.5","2010","24.2","0.97","1.2","0","1.2","4.96","0","4.96","124","0","124",""
"18",="8112","至上","05/22","29.65","-0.7","-2.31","2010","22.8","1.7","1.07","0","1.07","4.69","0","4.69","62.9","0","62.9",""
"19",="5519","隆大","05/22","14.85","-0.2","-1.33","2010","37.5","1.29","0.53","0.63","1.16","1.42","1.67","3.09","41.3","48.5","89.8",""
"20",="6596","寬宏藝術","05/22","49.9","-0.5","-0.99","-","","","","","","","","","","","",""
"21",="3028","增你強","05/22","18.9","-0.1","-0.53","2010","21.35","1.54","1.19","0","1.19","5.58","0","5.58","77.4","0","77.4",""
"22",="3213","茂訊","05/22","49.2","-0.1","-0.2","2010","66.4","7","6","0.6","6.6","9.04","0.9","9.94","85.7","8.57","94.3",""
"23",="6616","特昇-KY","05/22","25.8","+0.1","+0.39","-","","","","","","","","","","","",""
"24",="4560","強信-KY","05/22","48","-0.3","-0.62","-","","","","","","","","","","","",""
"25",="6128","上福","05/22","28.8","-0.15","-0.52","2010","35.9","4.17","3.2","0.4","3.6","8.91","1.11","10","76.7","9.59","86.3",""
"26",="4995","晶達","05/22","44.5","+0.1","+0.23","-","","","","","","","","","","","",""
"27",="00701","國泰股利精選30","05/22","20","-0.21","-1.04","-","","","","","","","","","","","",""
"28",="2227","裕日車","05/22","258.5","-3.5","-1.34","2010","140","2.18","0","0","0","0","0","0","0","0","0",""
"29",="1341","富林-KY","05/22","60.9","-0.8","-1.3","-","","","","","","","","","","","",""
"30",="2467","志聖","05/22","30.45","+1.2","+4.1","2010","26.7","0.89","1.24","0","1.24","4.66","0","4.66","140","0","140",""
"31",="6486","互動","05/22","73.3","-0.4","-0.54","-","","","","","","","","","","","",""
"32",="2548","華固","05/22","91.8","+0.7","+0.77","2010","88.4","10.83","5.96","0.6","6.56","6.74","0.67","7.42","55","5.5","60.6",""
"33",="9136","巨騰-DR","05/22","9.39","-0.11","-1.16","2010","20.6","","0.32","0","0.32","1.57","0","1.57","","","",""
"34",="8049","晶采","05/22","22.05","+0.1","+0.46","2010","14.2","0.54","0","0","0","0","0","0","0","0","0",""
"35",="6005","群益證","05/22","9.82","-0.15","-1.5","2010","15.65","1.58","0.1","0.84","0.94","0.64","5.37","6.01","6.33","53.2","59.5",""
"36",="2488","漢平","05/22","28.25","-0.25","-0.88","2010","16.1","1.07","0.7","0","0.7","4.35","0","4.35","65.4","0","65.4",""
"37",="3441","聯一光","05/22","25.8","+0.15","+0.58","2010","40.5","0.79","0.5","0","0.5","1.22","0","1.22","62.7","0","62.7",""
"38",="6248","沛波","05/22","27.1","-0.15","-0.55","2010","14","-1.7","0","0","0","0","0","0","0","0","0",""
"39",="5283","禾聯碩","05/22","98.9","-0.6","-0.6","-","","","","","","","","","","","",""
"40",="3071","協禧","05/22","19.1","+0.05","+0.26","2010","16.6","1.09","0","0","0","0","0","0","0","0","0",""
"41",="6026","福邦證","05/22","8.75","+0.03","+0.34","-","","","","","","","","","","","",""
"42",="6204","艾華","05/22","25","+0.2","+0.81","2010","33.2","2.67","2","0","2","6.02","0","6.02","74.9","0","74.9",""
"43",="5522","遠雄","05/22","43.95","-0.1","-0.23","2010","78.5","9.02","6","0","6","7.64","0","7.64","66.5","0","66.5",""
"44",="6176","瑞儀","05/22","100.5","-3.5","-3.37","2010","58","3.3","2.3","0.3","2.6","3.97","0.52","4.48","69.7","9.09","78.8",""
"45",="5353","台林","05/22","17","-0.35","-2.02","2010","11.6","0.31","0.44","0","0.44","3.83","0","3.83","143","0","143",""
"46",="6671","三能-KY","05/22","37.8","+0.1","+0.27","-","","","","","","","","","","","",""
"47",="8924","大田","05/22","47.9","0","0","2010","39.35","1.68","2.5","0","2.5","6.35","0","6.35","149","0","149",""
"48",="8048","德勝","05/22","31.55","-0.15","-0.47","2010","19","1.25","0.2","0.8","1","1.05","4.19","5.24","15.9","63.7","79.6",""
"49",="2546","根基","05/22","38.1","-0.3","-0.78","2010","29.8","3.87","2.9","0","2.9","9.74","0","9.74","75","0","75",""
"50",="1336","台翰","05/22","15.25","+0.05","+0.33","2010","17.6","-1.35","0","0","0","0","0","0","0","0","0",""
"51",="5443","均豪","05/22","19.15","-0.4","-2.05","2010","18.95","-1.71","0","0","0","0","0","0","0","0","0",""
"52",="6108","競國","05/22","20.7","-0.25","-1.19","2010","28.2","4.22","2.8","0","2.8","9.92","0","9.92","66.3","0","66.3",""
"53",="2063","世鎧","05/22","32.55","-0.15","-0.46","2010","60","2.12","0.7","1.2","1.9","1.17","2","3.17","33","56.6","89.6",""
"54",="1604","聲寶","05/22","19.55","+0.05","+0.26","2010","8.84","-0.11","0","0","0","0","0","0","0","0","0",""
"55",="5356","協益","05/22","28.7","-0.1","-0.35","2010","60.2","2.55","1","0","1","1.66","0","1.66","39.2","0","39.2",""
"56",="8424","惠普","05/22","52.2","0","0","2010","","2.6","1.5","0","1.5","","","","57.7","0","57.7",""
"57",="3531","先益","05/22","23.5","0","0","2010","30","1.83","1.65","0","1.65","5.49","0","5.49","90.1","0","90.1",""
"58",="5534","長虹","05/22","82.3","0","0","2010","81.7","5.57","4","0.2","4.2","4.9","0.24","5.14","71.8","3.59","75.4",""
"59",="2855","統一證","05/22","13.1","-0.1","-0.76","2010","19.05","1.76","0.82","0.4","1.22","4.3","2.1","6.4","46.6","22.7","69.3",""
"60",="3171","新洲","05/22","19.7","-0.05","-0.25","2010","12.05","0.07","0","0","0","0","0","0","0","0","0",""
"61",="6143","振曜","05/22","36.9","+0.4","+1.1","2010","74.5","4.18","1.5","0.1","1.6","2.01","0.13","2.15","35.9","2.39","38.3",""
"62",="2477","美隆電","05/22","21.1","-0.5","-2.31","2010","15.85","0.13","0.25","0","0.25","1.58","0","1.58","192","0","192",""
"63",="8942","森鉅","05/22","52.9","-0.1","-0.19","2010","36.55","0.93","0.7","0.3","1","1.92","0.82","2.74","75.3","32.3","108",""
"64",="6266","泰詠","05/22","20.9","-0.4","-1.88","2010","14.85","-0.24","0","0","0","0","0","0","0","0","0",""
"65",="5511","德昌","05/22","29.2","-0.1","-0.34","2010","26.6","1.96","1.2","0","1.2","4.51","0","4.51","61.2","0","61.2",""
"66",="6112","聚碩","05/22","39.9","-0.4","-0.99","2010","21.95","1.22","1.2","0.8","2","5.47","3.64","9.11","98.4","65.6","164",""
"67",="6201","亞弘電","05/22","33.25","-0.05","-0.15","2010","28.9","2.29","2","0","2","6.92","0","6.92","87.3","0","87.3",""
"68",="4916","事欣科","05/22","26.7","-0.35","-1.29","2010","104","5.94","0","3","3","0","2.88","2.88","0","50.5","50.5",""
"69",="3580","友威科","05/22","22.7","-0.3","-1.3","2010","43","0.8","0.6","0","0.6","1.4","0","1.4","75","0","75",""
"70",="6136","富爾特","05/22","18.7","-0.1","-0.53","2010","35","2.6","2.35","1","3.35","6.71","2.86","9.57","90.4","38.5","129",""
"71",="4942","嘉彰","05/22","33.5","-0.45","-1.33","2010","","8.12","2.25","2.25","4.49","","","","27.7","27.7","55.4",""
"72",="2459","敦吉","05/22","40.25","-0.35","-0.86","2010","35","2.01","1.6","0","1.6","4.57","0","4.57","79.6","0","79.6",""
"73",="2915","潤泰全","05/22","67.1","-1.1","-1.61","2010","86.9","0.66","1.3","0","1.3","1.5","0","1.5","197","0","197",""
"74",="3088","艾訊","05/22","53.7","-0.3","-0.56","2010","38.15","1.52","1.3","0","1.3","3.41","0","3.41","85.5","0","85.5",""
"75",="2348","海悅","05/22","60.5","-0.3","-0.49","2010","2.34","-1.3","0","0","0","0","0","0","0","0","0",""
"76",="2385","群光","05/22","79.5","-2","-2.45","2010","65","6.2","3.5","0.5","4","5.38","0.77","6.15","56.4","8.06","64.5",""
"77",="4938","和碩","05/22","60.7","+0.1","+0.17","2010","42","2.95","1.75","0","1.75","4.17","0","4.17","59.3","0","59.3",""
"78",="1434","福懋","05/22","33.8","-0.25","-0.73","2010","28.4","0.05","0.8","0","0.8","2.82","0","2.82","1600","0","1600",""
"79",="6294","智基","05/22","108.5","-1.5","-1.36","2010","27.8","-3.26","0","0","0","0","0","0","0","0","0",""
"80",="2597","潤弘","05/22","61.1","-0.5","-0.81","2010","60","4.09","4.5","0","4.5","7.5","0","7.5","110","0","110",""
"81",="4557","永新-KY","05/22","68","-0.3","-0.44","-","","","","","","","","","","","",""
