代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
4972,湯石照明,0,0,0.1,0.2,0.3,0.3,0.53,0.6,0.6,
8213,志超,0,0,0,0,0,0,0,0,0.2,1
8088,品安,0,0,0.53,0,0,0,0,0,0,0
1537,廣隆,0,0,0,0,0,0,0,0,0,0
8064,東捷,0,0,0,0,0,0,0,0,0,0
6270,倍微,0,0,0,0,0,0,0,0,0,0
6263,普萊德,0,0,0,0,0.2,0.2,0.2,0,0,0.3
3231,緯創,0,0.29,0.3,0.3,0.31,0.2,0.5,0.5,0.5,0.5
5864,致和證,0.6,0,0,0,0,0,0.1,0,0.3,0.5
6218,豪勉,0,0,0,0,0,0,0,1,1.5,0
8938,明安,0,0,0,0,0,0,0,0,0,0
6177,達麗,0.5,0,0.2,0.1,1.2,0.26,2.08,0.5,2.58,1.46
8383,千附,0,0,0,0,0,0,0,0.31,0.4,0
2852,第一保,0,0,0,0,0,0,0,0,0,0
3303,岱稜,0,0,0,0,0,0,0,0,0,0
6147,頎邦,0,0,0,0,0,0,0,0,0,0
1521,大億,0,0,0,0,0,0,0,0,0,0
6216,居易,0,0,0,0,0,0,0,0,0,0
2392,正崴,0,0,0,0,0,0,0,0.1,0.1,0.1
6664,群翊,0,0,,,,,,,,
6115,鎰勝,0,0,0,0,0,0,0,0,0,0
2904,匯僑,0,0,0,0,0,0,0,0,0,0
3032,偉訓,0,0,0,0,0,0,0,0,0.1,0.1
3310,佳穎,0,0,0,0,0,0,0,0,0,0
4564,元翎,0,0,0,,,,,,,
3015,全漢,0,0,0,0,0,0,0,0,0.1,0.2
4137,麗豐-KY,0,0,0,0,0,0.5,0,,,
2012,春雨,0,0,0,0,0,0,0,0,0,0
6488,環球晶,0,0,0,0,0,,,,,
2357,華碩,0,0,0,0,0,0,0,0,2.2,0
2301,光寶科,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05
3567,逸昌,0,0,0,0,0,0,0,0,0,0
1102,亞泥,0,0,0,0,0,0.2,0.2,0.3,0.2,0.3
6577,勁豐,0,0,0,0,2.85,,,,,
2373,震旦行,0,0,0,0,0,0,0,0,0,0
9943,好樂迪,0,0,0,0,0,0,0,0,0,0
4138,曜亞,0,0,0,0,0,0,0,0,0,0
6641,基士德-KY,0,0,0,,,,,,,
1593,祺驊,0,0,0,0,0,0.6,0.6,0,0,
2480,敦陽科,0,0,0,0,0,0,0,0,0,0
1338,廣華-KY,0,0,0,0,0,0,1,0,0,
1436,華友聯,2,0.5,0,1,1.5,0,0,0,0.02,0
2464,盟立,0,0,0.2,0,0.5,0,0,0.3,0.5,0
1558,伸興,0,0,0,0,0,0,0.5,0,0.3,0
3090,日電貿,0,0.7,0,0,0.5,1.2,1.2,1,1.75,1.65
