"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1",="9188","精熙-DR","05/22","2.51","-0.07","-2.71","2016","3.95","","0.7","0","0.7","17.7","0","17.7","","","",""
"2",="6523","達爾膚","05/22","63.3","-0.8","-1.25","2016","307","8.1","3","5","8","0.98","1.63","2.61","37","61.7","98.8","16'07/13"
"3",="1439","中和","05/22","35.1","+0.3","+0.86","2016","15.75","0.01","0.5","0","0.5","3.17","0","3.17","5000","0","5000","16'08/11"
"4","00837B","永豐15年金融債","05/22","36.22","+0.64","+1.8","-","","","","","","","","","","","",""
"5",="6125","廣運","05/22","16.8","-0.05","-0.3","2016","10.6","0.3","0.5","0","0.5","4.72","0","4.72","167","0","167",""
"6",="2020","美亞","05/22","17.7","-0.1","-0.56","2016","13.65","-1.45","0","0","0","0","0","0","0","0","0",""
"7",="6186","新潤","05/22","29.8","-0.05","-0.17","2016","22.3","6.44","3","0.5","3.5","13.4","2.24","15.7","46.6","7.76","54.4","16'09/20"
"8",="1465","偉全","05/22","15.2","-0.05","-0.33","2016","12.65","1","0.9","0","0.9","7.11","0","7.11","90","0","90","16'10/05"
"9",="6292","迅德","05/22","35.9","+0.15","+0.42","2016","29","2.06","2","0","2","6.9","0","6.9","97.1","0","97.1","16'09/02"
"10",="5604","中連貨","05/22","58.1","+0.5","+0.87","2016","30.6","3.81","3.2","0","3.2","10.5","0","10.5","84","0","84","16'07/14"
"11",="8066","來思達","05/22","62.9","-0.4","-0.63","2016","100","10.16","8","0","8","8","0","8","78.7","0","78.7","16'07/19"
"12",="2923","鼎固-KY","05/22","23.5","-0.65","-2.69","2016","21.25","2","0.36","0","0.36","1.69","0","1.69","18","0","18","16'11/16"
"13",="3056","總太","05/22","32.1","-0.05","-0.16","2016","17.9","3.63","2.5","0","2.5","14","0","14","68.9","0","68.9","16'07/20"
"14",="6197","佳必琪","05/22","32.15","-0.4","-1.23","2016","28.3","1.53","2","0","2","7.07","0","7.07","131","0","131","16'08/18"
"15",="2527","宏璟","05/22","19.4","-0.1","-0.51","2016","19.1","2.68","1.1","0","1.1","5.76","0","5.76","41","0","41","16'08/19"
"16",="5907","大洋-KY","05/22","23.75","-0.2","-0.84","2016","21.6","1.63","0.52","0","0.52","2.43","0","2.43","32.2","0","32.2","16'09/30"
"17",="1611","中電","05/22","13.1","-0.2","-1.5","2016","7.45","0.03","0","0","0","0","0","0","0","0","0",""
"18",="8112","至上","05/22","29.65","-0.7","-2.31","2016","24.9","1.2","0.94","0","0.94","3.76","0","3.76","78","0","78","16'09/30"
"19",="5519","隆大","05/22","14.85","-0.2","-1.33","2016","10.45","1.4","0.6","0","0.6","5.74","0","5.74","42.9","0","42.9","16'10/07"
"20",="6596","寬宏藝術","05/22","49.9","-0.5","-0.99","-","","","","","","","","","","","",""
"21",="3028","增你強","05/22","18.9","-0.1","-0.53","2016","17","1.58","1.7","0","1.7","10","0","10","108","0","108","16'07/29"
"22",="3213","茂訊","05/22","49.2","-0.1","-0.2","2016","38.05","3.98","3.1","0","3.1","8.15","0","8.15","77.9","0","77.9","16'08/04"
"23",="6616","特昇-KY","05/22","25.8","+0.1","+0.39","-","","","","","","","","","","","",""
"24",="4560","強信-KY","05/22","48","-0.3","-0.62","2016","","2.91","0","0","0","","","","0","0","0",""
"25",="6128","上福","05/22","28.8","-0.15","-0.52","2016","41.9","3.7","3","0","3","7.16","0","7.16","81.1","0","81.1","16'07/28"
"26",="4995","晶達","05/22","44.5","+0.1","+0.23","2016","30.75","2.81","2.52","0","2.52","8.2","0","8.2","89.7","0","89.7","16'08/03"
"27",="00701","國泰股利精選30","05/22","20","-0.21","-1.04","-","","","","","","","","","","","",""
"28",="2227","裕日車","05/22","258.5","-3.5","-1.34","2016","196.5","13.89","12.5","0","12.5","6.36","0","6.36","90","0","90","16'09/30"
"29",="1341","富林-KY","05/22","60.9","-0.8","-1.3","-","","","","","","","","","","","",""
"30",="2467","志聖","05/22","30.45","+1.2","+4.1","2016","20.7","-3.12","0","0","0","0","0","0","0","0","0",""
"31",="6486","互動","05/22","73.3","-0.4","-0.54","2016","40.2","3.59","3","0","3","7.46","0","7.46","83.6","0","83.6","16'08/15"
"32",="2548","華固","05/22","91.8","+0.7","+0.77","2016","60.5","9.59","5.5","0","5.5","9.09","0","9.09","57.4","0","57.4","16'08/04"
"33",="9136","巨騰-DR","05/22","9.39","-0.11","-1.16","2016","10.1","","0.62","0","0.62","6.14","0","6.14","","","",""
"34",="8049","晶采","05/22","22.05","+0.1","+0.46","2016","12.8","1.11","0.85","0","0.85","6.64","0","6.64","76.6","0","76.6","16'08/31"
"35",="6005","群益證","05/22","9.82","-0.15","-1.5","2016","9.69","0.66","0.49","0","0.49","5.06","0","5.06","74.2","0","74.2","16'09/07"
"36",="2488","漢平","05/22","28.25","-0.25","-0.88","2016","43.35","2.98","2.2","0","2.2","5.07","0","5.07","73.8","0","73.8","16'09/09"
"37",="3441","聯一光","05/22","25.8","+0.15","+0.58","2016","15.4","-0.43","0","0","0","0","0","0","0","0","0",""
"38",="6248","沛波","05/22","27.1","-0.15","-0.55","2016","20.2","2.01","0.65","0","0.65","3.22","0","3.22","32.3","0","32.3","16'11/08"
