"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1",="9188","精熙-DR","05/22","2.51","-0.07","-2.71","2013","2.8","","0.17","0","0.17","6.08","0","6.08","","","",""
"2",="6523","達爾膚","05/22","63.3","-0.8","-1.25","-","","","","","","","","","","","",""
"3",="1439","中和","05/22","35.1","+0.3","+0.86","2013","15.4","-0.09","0.5","0","0.5","3.25","0","3.25","-556","0","-556",""
"4","00837B","永豐15年金融債","05/22","36.22","+0.64","+1.8","-","","","","","","","","","","","",""
"5",="6125","廣運","05/22","16.8","-0.05","-0.3","2013","14.15","-3.36","0","0","0","0","0","0","0","0","0",""
"6",="2020","美亞","05/22","17.7","-0.1","-0.56","2013","14.1","0.41","0.2","0","0.2","1.42","0","1.42","48.8","0","48.8",""
"7",="6186","新潤","05/22","29.8","-0.05","-0.17","2013","38.8","1.55","1","0","1","2.58","0","2.58","64.5","0","64.5",""
"8",="1465","偉全","05/22","15.2","-0.05","-0.33","2013","16.2","0.96","1","0","1","6.17","0","6.17","104","0","104",""
"9",="6292","迅德","05/22","35.9","+0.15","+0.42","2013","33.6","2.81","2.5","0","2.5","7.44","0","7.44","89","0","89",""
"10",="5604","中連貨","05/22","58.1","+0.5","+0.87","2013","28.1","0.82","1.5","0","1.5","5.34","0","5.34","183","0","183",""
"11",="8066","來思達","05/22","62.9","-0.4","-0.63","2013","34.9","0.21","0","0","0","0","0","0","0","0","0",""
"12",="2923","鼎固-KY","05/22","23.5","-0.65","-2.69","2013","26","","0.12","0.11","0.23","0.46","0.42","0.89","","","",""
"13",="3056","總太","05/22","32.1","-0.05","-0.16","2013","32.7","3.65","1","0.5","1.5","3.06","1.53","4.59","27.4","13.7","41.1",""
"14",="6197","佳必琪","05/22","32.15","-0.4","-1.23","2013","26.6","0.39","0.8","0","0.8","3.01","0","3.01","205","0","205",""
"15",="2527","宏璟","05/22","19.4","-0.1","-0.51","2013","18.1","0.95","0.65","0","0.65","3.59","0","3.59","68.4","0","68.4",""
"16",="5907","大洋-KY","05/22","23.75","-0.2","-0.84","2013","61.8","","3","0","3","4.85","0","4.85","","","",""
"17",="1611","中電","05/22","13.1","-0.2","-1.5","2013","14.3","0.25","0.2","0","0.2","1.4","0","1.4","80","0","80",""
"18",="8112","至上","05/22","29.65","-0.7","-2.31","2013","15.05","0.64","0.4","0","0.4","2.68","0","2.68","62.9","0","62.9",""
"19",="5519","隆大","05/22","14.85","-0.2","-1.33","2013","30","4.1","1.08","2.5","3.58","3.6","8.33","11.9","26.3","61","87.3",""
"20",="6596","寬宏藝術","05/22","49.9","-0.5","-0.99","-","","","","","","","","","","","",""
"21",="3028","增你強","05/22","18.9","-0.1","-0.53","2013","19.15","1.5","1.3","0","1.3","6.8","0","6.8","86.8","0","86.8",""
"22",="3213","茂訊","05/22","49.2","-0.1","-0.2","2013","41","2.66","2","0","2","4.88","0","4.88","75.2","0","75.2",""
"23",="6616","特昇-KY","05/22","25.8","+0.1","+0.39","-","","","","","","","","","","","",""
"24",="4560","強信-KY","05/22","48","-0.3","-0.62","-","","","","","","","","","","","",""
"25",="6128","上福","05/22","28.8","-0.15","-0.52","2013","31.45","2.13","1.7","0","1.7","5.41","0","5.41","79.8","0","79.8",""
"26",="4995","晶達","05/22","44.5","+0.1","+0.23","2013","21.85","0.99","1","0","1","4.57","0","4.57","101","0","101",""
"27",="00701","國泰股利精選30","05/22","20","-0.21","-1.04","-","","","","","","","","","","","",""
"28",="2227","裕日車","05/22","258.5","-3.5","-1.34","2013","422","16.43","13.3","0","13.3","3.15","0","3.15","81","0","81",""
"29",="1341","富林-KY","05/22","60.9","-0.8","-1.3","-","","","","","","","","","","","",""
"30",="2467","志聖","05/22","30.45","+1.2","+4.1","2013","20.55","1.67","1.5","0","1.5","7.3","0","7.3","89.8","0","89.8",""
"31",="6486","互動","05/22","73.3","-0.4","-0.54","-","","","","","","","","","","","",""
"32",="2548","華固","05/22","91.8","+0.7","+0.77","2013","84.2","6.1","5","0","5","5.94","0","5.94","82","0","82",""
"33",="9136","巨騰-DR","05/22","9.39","-0.11","-1.16","2013","19.3","","0.46","0","0.46","2.4","0","2.4","","","",""
"34",="8049","晶采","05/22","22.05","+0.1","+0.46","2013","7.3","-0.81","0","0","0","0","0","0","0","0","0",""
"35",="6005","群益證","05/22","9.82","-0.15","-1.5","2013","11.05","0.45","0.15","0","0.15","1.36","0","1.36","33.3","0","33.3",""
"36",="2488","漢平","05/22","28.25","-0.25","-0.88","2013","30.6","0.78","0.6","0","0.6","1.96","0","1.96","76.9","0","76.9",""
"37",="3441","聯一光","05/22","25.8","+0.15","+0.58","2013","21.85","3.02","1.5","0.3","1.8","6.86","1.37","8.24","49.7","9.93","59.6",""
"38",="6248","沛波","05/22","27.1","-0.15","-0.55","2013","8.77","-7.76","0","0","0","0","0","0","0","0","0",""
"39",="5283","禾聯碩","05/22","98.9","-0.6","-0.6","2013","35.4","1.19","1","0","1","2.82","0","2.82","84","0","84",""
"40",="3071","協禧","05/22","19.1","+0.05","+0.26","2013","6.91","0.03","0.2","0","0.2","2.89","0","2.89","667","0","667",""
"41",="6026","福邦證","05/22","8.75","+0.03","+0.34","2013","","0.54","0","0","0","","","","0","0","0",""
"42",="6204","艾華","05/22","25","+0.2","+0.81","2013","24.55","2.02","1","0","1","4.07","0","4.07","49.5","0","49.5",""
"43",="5522","遠雄","05/22","43.95","-0.1","-0.23","2013","50.5","6.23","3.5","0","3.5","6.93","0","6.93","56.2","0","56.2",""
"44",="6176","瑞儀","05/22","100.5","-3.5","-3.37","2013","109","12.05","8","0.3","8.3","7.34","0.28","7.61","66.4","2.49","68.9",""
"45",="5353","台林","05/22","17","-0.35","-2.02","2013","12.7","0.35","0.3","0","0.3","2.36","0","2.36","85.7","0","85.7",""
"46",="6671","三能-KY","05/22","37.8","+0.1","+0.27","-","","","","","","","","","","","",""
"47",="8924","大田","05/22","47.9","0","0","2013","20.15","0.32","0.5","0","0.5","2.48","0","2.48","156","0","156",""
"48",="8048","德勝","05/22","31.55","-0.15","-0.47","2013","19.9","0.72","0.5","0","0.5","2.51","0","2.51","69.4","0","69.4",""
"49",="2546","根基","05/22","38.1","-0.3","-0.78","2013","16.15","1.12","1","0","1","6.19","0","6.19","89.3","0","89.3",""
"50",="1336","台翰","05/22","15.25","+0.05","+0.33","2013","10.6","-0.83","0","0","0","0","0","0","0","0","0",""
"51",="5443","均豪","05/22","19.15","-0.4","-2.05","2013","12.35","-1.53","0","0","0","0","0","0","0","0","0",""
"52",="6108","競國","05/22","20.7","-0.25","-1.19","2013","17.9","2.14","1.4","0","1.4","7.82","0","7.82","65.4","0","65.4",""
"53",="2063","世鎧","05/22","32.55","-0.15","-0.46","2013","23.9","1.21","1.1","0","1.1","4.6","0","4.6","90.9","0","90.9",""
"54",="1604","聲寶","05/22","19.55","+0.05","+0.26","2013","11.85","0.94","0.6","0","0.6","5.06","0","5.06","63.8","0","63.8",""
"55",="5356","協益","05/22","28.7","-0.1","-0.35","2013","56.3","5.06","4","0","4","7.1","0","7.1","79","0","79",""
"56",="8424","惠普","05/22","52.2","0","0","2013","42.35","3.88","0.5","1","1.5","1.18","2.36","3.54","12.9","25.8","38.7",""
"57",="3531","先益","05/22","23.5","0","0","2013","24.35","2.14","1.7","0","1.7","6.98","0","6.98","79.4","0","79.4",""
"58",="5534","長虹","05/22","82.3","0","0","2013","91.5","21.28","9.97","0","9.97","10.9","0","10.9","46.9","0","46.9",""
