"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1",="9188","精熙-DR","05/22","2.51","-0.07","-2.71","2017","5.1","","0.65","0","0.65","12.8","0","12.8","","","",""
"2",="6523","達爾膚","05/22","63.3","-0.8","-1.25","2017","83.7","7.06","6.6","0","6.6","7.89","0","7.89","93.5","0","93.5","17'08/04"
"3",="1439","中和","05/22","35.1","+0.3","+0.86","2017","20.65","0.28","0.5","0","0.5","2.42","0","2.42","179","0","179","17'07/27"
"4","00837B","永豐15年金融債","05/22","36.22","+0.64","+1.8","-","","","","","","","","","","","",""
"5",="6125","廣運","05/22","16.8","-0.05","-0.3","2017","12.55","-1.94","0.5","0","0.5","3.98","0","3.98","-25.8","0","-25.8",""
"6",="2020","美亞","05/22","17.7","-0.1","-0.56","2017","14","1.65","0.8","0","0.8","5.71","0","5.71","48.5","0","48.5","17'08/08"
"7",="6186","新潤","05/22","29.8","-0.05","-0.17","2017","15.2","3.54","2","0","2","13.2","0","13.2","56.5","0","56.5","17'09/19"
"8",="1465","偉全","05/22","15.2","-0.05","-0.33","2017","15.2","0.72","0.65","0","0.65","4.28","0","4.28","90.3","0","90.3","17'08/25"
"9",="6292","迅德","05/22","35.9","+0.15","+0.42","2017","31.6","3.35","3.2","0","3.2","10.1","0","10.1","95.5","0","95.5","17'08/30"
"10",="5604","中連貨","05/22","58.1","+0.5","+0.87","2017","29.5","0.88","1.8","0","1.8","6.1","0","6.1","205","0","205","17'07/20"
"11",="8066","來思達","05/22","62.9","-0.4","-0.63","2017","119.5","8.91","6","2","8","5.02","1.67","6.69","67.3","22.4","89.8","17'07/27"
"12",="2923","鼎固-KY","05/22","23.5","-0.65","-2.69","2017","18.35","1.38","0.36","0","0.36","1.96","0","1.96","26.1","0","26.1","17'09/29"
"13",="3056","總太","05/22","32.1","-0.05","-0.16","2017","19.15","4.34","2.5","0","2.5","13","0","13","57.6","0","57.6","17'07/24"
"14",="6197","佳必琪","05/22","32.15","-0.4","-1.23","2017","31.5","2.4","1.2","0","1.2","3.81","0","3.81","50","0","50","17'10/02"
"15",="2527","宏璟","05/22","19.4","-0.1","-0.51","2017","24.7","0.24","0.8","0","0.8","3.24","0","3.24","333","0","333","17'08/11"
"16",="5907","大洋-KY","05/22","23.75","-0.2","-0.84","2017","22.85","1.65","0.97","0","0.97","4.23","0","4.23","58.6","0","58.6","17'10/31"
"17",="1611","中電","05/22","13.1","-0.2","-1.5","2017","9.97","-2.15","0","0","0","0","0","0","0","0","0",""
"18",="8112","至上","05/22","29.65","-0.7","-2.31","2017","29.9","3.7","2.48","0","2.48","8.29","0","8.29","67","0","67","17'08/18"
"19",="5519","隆大","05/22","14.85","-0.2","-1.33","2017","10.4","1.3","0.5","0","0.5","4.81","0","4.81","38.5","0","38.5","17'10/06"
"20",="6596","寬宏藝術","05/22","49.9","-0.5","-0.99","2017","72.49","2.15","2","1","3","2.76","1.38","4.14","93","46.5","140","17'07/24"
"21",="3028","增你強","05/22","18.9","-0.1","-0.53","2017","20.05","1.37","1.5","0","1.5","7.48","0","7.48","109","0","109","17'07/28"
"22",="3213","茂訊","05/22","49.2","-0.1","-0.2","2017","56.5","4.42","3.4","0","3.4","6.02","0","6.02","76.9","0","76.9","17'08/10"
"23",="6616","特昇-KY","05/22","25.8","+0.1","+0.39","2017","","0.09","0","0","0","","","","0","0","0",""
"24",="4560","強信-KY","05/22","48","-0.3","-0.62","2017","48","2.55","1.6","0","1.6","3.33","0","3.33","62.8","0","62.8","17'08/31"
"25",="6128","上福","05/22","28.8","-0.15","-0.52","2017","39.45","4.2","2.8","0","2.8","7.1","0","7.1","66.7","0","66.7","17'07/19"
"26",="4995","晶達","05/22","44.5","+0.1","+0.23","2017","38.05","1.93","1.8","0","1.8","4.73","0","4.73","93.2","0","93.2","17'07/18"
"27",="00701","國泰股利精選30","05/22","20","-0.21","-1.04","-","","","","","","","","","","","",""
"28",="2227","裕日車","05/22","258.5","-3.5","-1.34","2017","266.5","15.44","22","0","22","8.26","0","8.26","142","0","142","17'09/20"
"29",="1341","富林-KY","05/22","60.9","-0.8","-1.3","-","","","","","","","","","","","",""
"30",="2467","志聖","05/22","30.45","+1.2","+4.1","2017","27.55","1.39","0.5","0","0.5","1.81","0","1.81","36","0","36","17'07/20"
"31",="6486","互動","05/22","73.3","-0.4","-0.54","2017","43.25","3.7","3.5","0","3.5","8.09","0","8.09","94.6","0","94.6","17'07/28"
"32",="2548","華固","05/22","91.8","+0.7","+0.77","2017","69.4","8.73","5.6","0","5.6","8.07","0","8.07","64.2","0","64.2","17'08/10"
"33",="9136","巨騰-DR","05/22","9.39","-0.11","-1.16","2017","9.87","","0.38","0","0.38","3.89","0","3.89","","","",""
"34",="8049","晶采","05/22","22.05","+0.1","+0.46","2017","16.95","1.56","1.3","0","1.3","7.67","0","7.67","83.3","0","83.3","17'09/21"
"35",="6005","群益證","05/22","9.82","-0.15","-1.5","2017","11.6","0.53","0.37","0","0.37","3.19","0","3.19","69.8","0","69.8","17'09/13"
"36",="2488","漢平","05/22","28.25","-0.25","-0.88","2017","29.85","5.64","3.5","0","3.5","11.7","0","11.7","62.1","0","62.1","17'10/25"
