代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
2385,群光,4.27,7.11,5.67,5.73,6.44,5.2,5.47,5.96,8.06,5.38
4938,和碩,5.12,7.79,6.85,6.53,5.61,3.79,3.86,0,4.4,4.17
1434,福懋,6.14,5.5,4.79,4.07,4.67,3.18,2.77,4.29,7.13,2.82
6294,智基,7.84,7.21,7.48,3.19,0,0,0,0,0,0
2597,潤弘,7.72,4.78,10.5,12.3,18.6,10.8,3.09,3.62,7.66,7.5
4557,永新-KY,7.07,8.17,6.93,7.67,1.33,,,,,
8916,光隆,7.49,6.67,8.15,6.57,4.95,6.16,2.87,4.82,5.87,2.41
2433,互盛電,6.23,8.31,6.22,8.32,7.49,9.03,4.85,15.3,6.36,4.56
5410,國眾,6.45,8.04,7.46,9.24,9.56,6.64,5.14,5.66,5.69,0
8928,鉅明,3.94,6.54,6.3,9.84,5.01,0,0,0,0,4.93
2493,揚博,9.01,7.14,8.7,8.47,13.3,6.9,9.75,10.9,7.44,0
1608,華榮,0,7.93,0,0,0,6.83,6.03,0,4.81,4.1
3206,志豐,4.75,4.35,3.16,5.21,2.38,1.6,5.61,9.17,7.98,1.23
1464,得力,5.76,11.1,7.67,8.44,2.99,0,1.47,2.19,1.61,1.5
3036,文曄,5.58,6.44,5.31,6.74,8.45,5.38,5.96,7.47,9.7,4.19
1452,宏益,7.53,8.31,5.41,8.78,4.26,6.3,4.61,5.16,9.1,2.82
1712,興農,6.84,5.98,5.56,3.92,6.89,4.92,4.79,5.67,6.64,5.54
2458,義隆,5.48,3.43,3.41,5.87,7.99,7.35,6.41,2.23,6.31,2.12
5536,聖暉,8.13,7.67,3.87,6.46,2.31,11.6,8.3,8,10.5,3.81
6184,大豐電,6.22,7.35,1.46,1.53,3.87,4.93,3.7,4.68,4.91,6.1
4972,湯石照明,7.35,7.43,8.55,8.12,5.03,5.03,2.77,3.28,,
8213,志超,5.97,5.45,4.71,6.66,10.7,5.79,8.43,1.64,7.74,3.42
8088,品安,1.54,1.53,2.97,7.29,9.52,13.2,1.72,3.47,0,0
1537,廣隆,6.71,6.55,6.27,4.76,4.92,5.76,5.71,4.37,10.1,5.95
8064,東捷,5.63,0,5.3,3.05,7.72,4.34,0,0,4.52,0
6270,倍微,6.45,8.29,4,4.88,5.31,3.5,3.48,8.23,15,8.18
6263,普萊德,6.62,7.58,6.33,7.94,7.46,6.07,5.51,5.34,8.5,5.64
3231,緯創,5.25,6.12,4.95,4.8,6.61,6.28,5.99,7.31,8.33,4.58
5864,致和證,6.44,4.95,6.53,0,0,0,3.15,0,5.17,3.13
6218,豪勉,7.48,6.11,6.17,5.19,6.1,4.74,6.52,7.04,9.56,4.94
8938,明安,5.43,7,3.66,2.79,2.51,2.76,6.94,2.64,8.97,5.91
6177,達麗,1.74,15.7,5.69,15.3,19.6,0,0,3.34,2.71,0
8383,千附,6.72,8.21,5.47,4.58,3.9,3.38,4.14,3.06,4.24,2.08
2852,第一保,3.37,4.08,4.48,0,3.28,7.05,7.63,1.24,15.8,3.13
3303,岱稜,6.44,2.55,8.11,6.15,3.46,7.47,3.99,0,0,3.71
6147,頎邦,5.21,3.79,3.72,4.57,5.47,4.48,5.55,3.5,6.78,0
1521,大億,5.86,9.81,6.58,6.05,4.78,5.21,5.82,8.89,7.08,4.69
6216,居易,7.09,7.47,9.24,8.64,7.89,6.32,5.61,12.8,7.53,6.96
2392,正崴,3.28,8.44,3,5.46,4.4,6.05,4.18,4,4.2,3.61
6664,群翊,6.13,5.76,,,,,,,,
6115,鎰勝,6.89,7.44,9.13,7.84,10.4,7.97,7.41,8.66,9.75,9.13
2904,匯僑,6.35,6.11,6.91,8.21,7.77,10.6,9.92,16.6,6.27,6.24
3032,偉訓,7.96,7.75,5.67,5.17,9.26,2.2,2.31,0,13.2,6.92
3310,佳穎,13.9,3.2,1.49,2.62,2.33,1.33,1.07,0,0,0
4564,元翎,5.91,3.24,,,,,,,,
3015,全漢,5.68,8.33,6.22,6.32,0.44,6.92,7.32,7.43,10.6,6.64
4137,麗豐-KY,5.04,3.13,4.32,6.64,2.04,4.21,1.38,,,
2012,春雨,6.4,3.75,5.23,3.75,3.52,3.53,0,0,0,0
6488,環球晶,6.54,3.57,0.63,4.35,7.7,,,,,
2357,華碩,6.48,7.44,6.08,5.66,6.25,5.63,7.15,4.44,6.5,0.76
2301,光寶科,5.92,7.19,7.19,4.5,6.19,7.45,4.9,5.89,8.42,5.61
3567,逸昌,8.6,8.85,6.13,4.61,5.02,2.83,1.15,1.99,19.5,5.43
1102,亞泥,5.84,3.53,3.19,4.17,8.03,4.62,4.4,6.16,5.59,5.58
6577,勁豐,6.61,6.8,3.25,,,,,,,
2373,震旦行,6.66,6.22,3.77,5.98,5.87,6.06,4.69,6.5,4.29,3.64
9943,好樂迪,7.57,6.91,7.62,7.81,7.48,10.4,7.86,7.23,3.67,0
4138,曜亞,6.3,7.3,7.02,6.79,5.49,2.05,5.57,5.73,5.77,1.54
6641,基士德-KY,5.55,4.9,,,,,,,,
1593,祺驊,7.87,7.91,5.9,7.56,5.48,5.01,3.19,5.62,6.67,
2480,敦陽科,6.37,6.85,5.88,7.27,8.21,7.1,6.54,7.47,7.92,5.86
1338,廣華-KY,5.2,6.66,3.49,4.8,3.11,2.67,1.46,1.79,0,
1436,華友聯,5.03,6.83,2.49,0,3.72,0,0,0,1.32,0
2464,盟立,8.31,3.57,3.74,6.16,3.13,5.37,3.94,4.65,9.44,4.72
1558,伸興,8.3,6.3,7.34,5.92,6.52,5.66,4.55,8,8.27,5.98
3090,日電貿,12.2,4.73,5.63,8.2,6.74,3.92,1.12,7.86,7.09,5.56
2883,開發金,3.08,6.17,4.93,6.2,7.29,3.96,2,0,6.91,3.89
2916,滿心,7.63,6.98,4.33,8.15,6.11,5.62,2.32,7.81,10.8,3.6
5015,華祺,11.1,7.67,7.94,8.62,17.8,4.77,1.28,12.6,2.61,6.78
9927,泰銘,4.25,9.87,6.38,5.87,8.94,5.57,6.18,5.25,8.42,9.47
3501,維熹,6.94,6.25,6.92,7.86,4.83,6.1,6.53,7.36,11.4,6.65
2606,裕民,5.36,3.72,2.05,3.98,8.26,4.01,4.67,6.46,11.2,7.87
2471,資通,6.42,6.78,9.15,7.17,9.27,6.41,8.22,7.29,8.22,0
3617,碩天,4.86,6.47,4.77,4.52,4.17,6.22,4.87,6.92,6.73,4.79
3044,健鼎,4.7,6.58,4.57,4.46,4.91,3.62,4.68,5.78,5.89,2.27
2397,友通,6.29,6.56,7.44,5.51,5.54,5.01,3.99,6.1,4.86,9.18
4987,科誠,8.4,8.59,5.7,10.7,7.29,4.48,2.98,5.05,6.47,
6210,慶生,5.66,12.2,4.85,11.6,8.9,7.74,6.51,7.46,12.2,2.22
8435,鉅邁,6.32,7.14,5.86,7.74,6.39,5.53,5.24,5.62,,
6208,日揚,5.96,6.64,2.7,1.44,7.31,3.92,2.44,14,1.89,0
2727,王品,5.52,6.99,2.61,0.76,5.01,4.14,2.76,2.05,,
6206,飛捷,6.94,6.62,6.11,6.38,6.26,5.48,2.87,5.13,7.86,5.05
8390,金益鼎,2.31,2.15,0.98,1.47,1.42,0.56,4.03,6.27,4.16,2.97
6189,豐藝,7.55,6.36,8.2,9.84,10.8,8.25,6.69,9.11,11,8.44
3455,由田,4.83,2.95,6.93,5.36,1.72,0,0,5.45,11.3,1.42
9942,茂順,5.99,6.21,4.44,4.74,5.66,5,3.4,6.56,6.6,5.87
2404,漢唐,5.1,6.69,10.2,9.13,5.88,7.92,4.88,12.3,15.6,3.63
3541,西柏,4.77,7.55,3.88,3.08,6.92,1.9,5.07,6.99,7.75,4.43
2476,鉅祥,5.33,7.29,6.3,5.93,6.85,4.69,4.9,4.03,8.03,4.08
5403,中菲,7.2,10,8.03,8.54,4.61,8.93,6.37,4.84,9.47,7.3
6613,朋億,9.04,7.14,3.17,,,,,,,
4417,金洲,7.24,4.81,6.94,4.25,2.89,1.62,4.62,2.48,3.68,1.18
6560,欣普羅,8.7,0,3.83,,,,,,,
1315,達新,2.53,4.15,4.3,4.32,4.81,3.48,3.33,5.84,3.62,3.65
5278,尚凡,13.5,0,0,0,3.84,9.13,3.31,,,
