"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1",="9188","精熙-DR","05/22","2.51","-0.07","-2.71","2011","3.14","","0.32","0","0.32","10.3","0","10.3","","","",""
"2",="6523","達爾膚","05/22","63.3","-0.8","-1.25","-","","","","","","","","","","","",""
"3",="1439","中和","05/22","35.1","+0.3","+0.86","2011","20.5","21.68","10","0","10","48.8","0","48.8","46.1","0","46.1",""
"4","00837B","永豐15年金融債","05/22","36.22","+0.64","+1.8","-","","","","","","","","","","","",""
"5",="6125","廣運","05/22","16.8","-0.05","-0.3","2011","11.7","1.08","0.91","0.45","1.36","7.77","3.89","11.7","84.2","42.1","126",""
"6",="2020","美亞","05/22","17.7","-0.1","-0.56","2011","13.2","1.95","0.8","0.8","1.6","6.06","6.06","12.1","41","41","82",""
"7",="6186","新潤","05/22","29.8","-0.05","-0.17","2011","13.95","-0.66","0","0","0","0","0","0","0","0","0",""
"8",="1465","偉全","05/22","15.2","-0.05","-0.33","2011","13.15","2.52","2.2","0","2.2","16.7","0","16.7","87.3","0","87.3",""
"9",="6292","迅德","05/22","35.9","+0.15","+0.42","2011","24.15","3.54","2.9","0","2.9","12","0","12","81.9","0","81.9",""
"10",="5604","中連貨","05/22","58.1","+0.5","+0.87","2011","24.4","2.18","1.96","0","1.96","8.03","0","8.03","89.9","0","89.9",""
"11",="8066","來思達","05/22","62.9","-0.4","-0.63","2011","8.8","-1.58","0","0","0","0","0","0","0","0","0",""
"12",="2923","鼎固-KY","05/22","23.5","-0.65","-2.69","-","","","","","","","","","","","",""
"13",="3056","總太","05/22","32.1","-0.05","-0.16","2011","19","-0.05","0","0","0","0","0","0","0","0","0",""
"14",="6197","佳必琪","05/22","32.15","-0.4","-1.23","2011","28","0.58","0","0","0","0","0","0","0","0","0",""
"15",="2527","宏璟","05/22","19.4","-0.1","-0.51","2011","11.3","0.75","0.4","0","0.4","3.54","0","3.54","53.3","0","53.3",""
"16",="5907","大洋-KY","05/22","23.75","-0.2","-0.84","-","","","","","","","","","","","",""
"17",="1611","中電","05/22","13.1","-0.2","-1.5","2011","18.45","1.33","1.28","0","1.28","6.95","0","6.95","96.4","0","96.4",""
"18",="8112","至上","05/22","29.65","-0.7","-2.31","2011","14.7","2.01","1.46","0","1.46","9.96","0","9.96","72.8","0","72.8",""
"19",="5519","隆大","05/22","14.85","-0.2","-1.33","2011","25.5","4.17","1.06","2.69","3.75","4.17","10.5","14.7","25.5","64.4","89.9",""
"20",="6596","寬宏藝術","05/22","49.9","-0.5","-0.99","-","","","","","","","","","","","",""
"21",="3028","增你強","05/22","18.9","-0.1","-0.53","2011","19","2.09","1.6","0","1.6","8.41","0","8.41","76.4","0","76.4",""
"22",="3213","茂訊","05/22","49.2","-0.1","-0.2","2011","53.9","5.96","4","1.5","5.5","7.42","2.78","10.2","67.1","25.2","92.3",""
"23",="6616","特昇-KY","05/22","25.8","+0.1","+0.39","-","","","","","","","","","","","",""
"24",="4560","強信-KY","05/22","48","-0.3","-0.62","-","","","","","","","","","","","",""
"25",="6128","上福","05/22","28.8","-0.15","-0.52","2011","25.4","3.6","2.75","0.35","3.1","10.8","1.38","12.2","76.4","9.72","86.1",""
"26",="4995","晶達","05/22","44.5","+0.1","+0.23","2011","21.5","2.45","2","0","2","9.29","0","9.29","81.5","0","81.5",""
"27",="00701","國泰股利精選30","05/22","20","-0.21","-1.04","-","","","","","","","","","","","",""
"28",="2227","裕日車","05/22","258.5","-3.5","-1.34","2011","129.5","9.61","5.6","0","5.6","4.32","0","4.32","58.3","0","58.3",""
"29",="1341","富林-KY","05/22","60.9","-0.8","-1.3","-","","","","","","","","","","","",""
"30",="2467","志聖","05/22","30.45","+1.2","+4.1","2011","16.8","2.92","2.04","0","2.04","12.2","0","12.2","70","0","70",""
"31",="6486","互動","05/22","73.3","-0.4","-0.54","-","","","","","","","","","","","",""
"32",="2548","華固","05/22","91.8","+0.7","+0.77","2011","61.3","11.31","6.19","0.3","6.49","10.1","0.49","10.6","54.7","2.65","57.4",""
"33",="9136","巨騰-DR","05/22","9.39","-0.11","-1.16","2011","6.62","","0.3","0","0.3","4.5","0","4.5","","","",""
