"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1",="9188","精熙-DR","05/22","2.51","-0.07","-2.71","2019","3.24","","0.62","0","0.62","19","0","19","","","",""
"2",="6523","達爾膚","05/22","63.3","-0.8","-1.25","2019","101.5","0.55","0.45","0","0.45","0.44","0","0.44","81.8","0","81.8","19'07/31"
"3",="1439","中和","05/22","35.1","+0.3","+0.86","2019","33.4","-0.75","0","0","0","0","0","0","0","0","0",""
"4","00837B","永豐15年金融債","05/22","36.22","+0.64","+1.8","2019","41.3","","1.7","0","1.7","4.13","0","4.13","","","",""
"5",="6125","廣運","05/22","16.8","-0.05","-0.3","2019","15.85","-0.68","0.51","0","0.51","3.19","0","3.19","-74.4","0","-74.4","19'08/19"
"6",="2020","美亞","05/22","17.7","-0.1","-0.56","2019","15.6","1.34","1.4","0","1.4","8.97","0","8.97","104","0","104","19'08/06"
"7",="6186","新潤","05/22","29.8","-0.05","-0.17","2019","31.9","-0.36","1","0","1","3.13","0","3.13","-278","0","-278","19'09/17"
"8",="1465","偉全","05/22","15.2","-0.05","-0.33","2019","15.25","-0.12","0.3","0","0.3","1.97","0","1.97","-250","0","-250","19'08/19"
"9",="6292","迅德","05/22","35.9","+0.15","+0.42","2019","34.55","1.92","2.3","0","2.3","6.66","0","6.66","120","0","120","19'08/20"
"10",="5604","中連貨","05/22","58.1","+0.5","+0.87","2019","39.45","4.03","3.75","0","3.75","9.51","0","9.51","93","0","93","19'07/11"
"11",="8066","來思達","05/22","62.9","-0.4","-0.63","2019","83","13.11","10","0","10","12","0","12","76.3","0","76.3","19'07/18"
"12",="2923","鼎固-KY","05/22","23.5","-0.65","-2.69","2019","27.05","0.94","0.72","0","0.72","2.66","0","2.66","76.6","0","76.6","19'09/30"
"13",="3056","總太","05/22","32.1","-0.05","-0.16","2019","31.6","1.46","1.5","0","1.5","4.75","0","4.75","103","0","103","19'07/24"
"14",="6197","佳必琪","05/22","32.15","-0.4","-1.23","2019","32.95","3.28","2","0","2","6.07","0","6.07","61","0","61","19'07/25"
"15",="2527","宏璟","05/22","19.4","-0.1","-0.51","2019","22.6","1.6","1.2","0","1.2","5.31","0","5.31","75","0","75","19'09/20"
"16",="5907","大洋-KY","05/22","23.75","-0.2","-0.84","2019","28.2","2.71","1.69","0","1.69","6.01","0","6.01","62.5","0","62.5","19'09/26"
"17",="1611","中電","05/22","13.1","-0.2","-1.5","2019","11.1","0.17","0.15","0","0.15","1.35","0","1.35","88.2","0","88.2","19'08/09"
"18",="8112","至上","05/22","29.65","-0.7","-2.31","2019","30.15","3.85","3","0","3","9.95","0","9.95","77.9","0","77.9","19'08/16"
"19",="5519","隆大","05/22","14.85","-0.2","-1.33","2019","16.6","2.41","0.95","0","0.95","5.73","0","5.73","39.5","0","39.5","19'10/04"
"20",="6596","寬宏藝術","05/22","49.9","-0.5","-0.99","2019","69.9","1.24","2","1","3","2.86","1.43","4.29","161","80.6","242","19'07/12"
"21",="3028","增你強","05/22","18.9","-0.1","-0.53","2019","21.1","1.9","1.7","0","1.7","8.06","0","8.06","89.5","0","89.5","19'07/31"
"22",="3213","茂訊","05/22","49.2","-0.1","-0.2","2019","47.4","3.1","2.8","0","2.8","5.91","0","5.91","90.3","0","90.3","19'08/02"
"23",="6616","特昇-KY","05/22","25.8","+0.1","+0.39","2019","36.85","3.37","1.8","0","1.8","4.88","0","4.88","53.4","0","53.4","19'10/08"
"24",="4560","強信-KY","05/22","48","-0.3","-0.62","2019","51.9","4.76","3.47","0","3.47","6.69","0","6.69","72.9","0","72.9","19'08/15"
"25",="6128","上福","05/22","28.8","-0.15","-0.52","2019","30.6","0.36","2","0","2","6.54","0","6.54","556","0","556","19'08/21"
"26",="4995","晶達","05/22","44.5","+0.1","+0.23","2019","48.7","2.74","2.15","0","2.15","4.41","0","4.41","78.4","0","78.4","19'07/12"
"27",="00701","國泰股利精選30","05/22","20","-0.21","-1.04","2019","23.72","","0.47","0","0.47","1.98","0","1.98","","","",""
