"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"42",="6204","艾華","05/22","25","+0.2","+0.81","2018","18.2","1.53","1.1","0","1.1","6.04","0","6.04","71.9","0","71.9","18'08/22"
"43",="5522","遠雄","05/22","43.95","-0.1","-0.23","2018","34.5","2.4","2.5","0","2.5","7.25","0","7.25","104","0","104","18'08/24"
"44",="6176","瑞儀","05/22","100.5","-3.5","-3.37","2018","84.5","6.57","4.8","0","4.8","5.68","0","5.68","73.1","0","73.1","18'08/23"
"45",="5353","台林","05/22","17","-0.35","-2.02","2018","14.5","0.38","0.6","0","0.6","4.14","0","4.14","158","0","158","18'07/26"
"46",="6671","三能-KY","05/22","37.8","+0.1","+0.27","2018","43.5","4.52","4","0","4","9.2","0","9.2","88.5","0","88.5",""
"47",="8924","大田","05/22","47.9","0","0","2018","18.4","8.74","3.4","0","3.4","18.5","0","18.5","38.9","0","38.9","18'06/13"
"48",="8048","德勝","05/22","31.55","-0.15","-0.47","2018","25.9","2.38","2.2","0","2.2","8.49","0","8.49","92.4","0","92.4","18'07/26"
"49",="2546","根基","05/22","38.1","-0.3","-0.78","2018","27.25","2.79","2.16","0","2.16","7.93","0","7.93","77.4","0","77.4","18'08/15"
"50",="1336","台翰","05/22","15.25","+0.05","+0.33","2018","15.1","1.44","0.6","0","0.6","3.97","0","3.97","41.7","0","41.7","18'09/20"
"51",="5443","均豪","05/22","19.15","-0.4","-2.05","2018","21.7","1.21","1.22","0","1.22","5.61","0","5.61","101","0","101","18'08/07"
"52",="6108","競國","05/22","20.7","-0.25","-1.19","2018","25.9","1.71","1.35","0","1.35","5.21","0","5.21","79","0","79","18'07/20"
"53",="2063","世鎧","05/22","32.55","-0.15","-0.46","2018","34.8","2.63","2.5","0","2.5","7.18","0","7.18","95.1","0","95.1","18'07/20"
"54",="1604","聲寶","05/22","19.55","+0.05","+0.26","2018","13.9","0.67","0.2","0","0.2","1.44","0","1.44","29.8","0","29.8","18'09/13"
"55",="5356","協益","05/22","28.7","-0.1","-0.35","2018","25.3","3.64","2","0","2","7.91","0","7.91","55","0","55","18'07/19"
"56",="8424","惠普","05/22","52.2","0","0","2018","51.1","4.54","3.5","0","3.5","6.85","0","6.85","77.1","0","77.1","18'08/15"
"57",="3531","先益","05/22","23.5","0","0","2018","19.9","2.76","2","0","2","10","0","10","72.5","0","72.5","18'08/28"
"58",="5534","長虹","05/22","82.3","0","0","2018","77.2","10.48","6.2","0","6.2","8.03","0","8.03","59.2","0","59.2","18'09/21"
"59",="2855","統一證","05/22","13.1","-0.1","-0.76","2018","11.5","1.88","1.2","0","1.2","10.4","0","10.4","63.8","0","63.8","18'08/24"
"60",="3171","新洲","05/22","19.7","-0.05","-0.25","2018","9.94","0.65","0.35","0","0.35","3.52","0","3.52","53.8","0","53.8","18'07/31"
"61",="6143","振曜","05/22","36.9","+0.4","+1.1","2018","36.9","-1.12","2","0","2","5.42","0","5.42","-179","0","-179","18'08/31"
"62",="2477","美隆電","05/22","21.1","-0.5","-2.31","2018","20.2","1.6","1.3","0","1.3","6.44","0","6.44","81.2","0","81.2","18'09/12"
"63",="8942","森鉅","05/22","52.9","-0.1","-0.19","2018","67","-0.23","3.02","0","3.02","4.51","0","4.51","-1313","0","-1313","18'06/29"
"64",="6266","泰詠","05/22","20.9","-0.4","-1.88","2018","22.4","1.3","1.16","0","1.16","5.18","0","5.18","89.2","0","89.2","18'07/11"
"65",="5511","德昌","05/22","29.2","-0.1","-0.34","2018","24.15","2.36","1.2","0","1.2","4.97","0","4.97","50.8","0","50.8","18'07/23"
"66",="6112","聚碩","05/22","39.9","-0.4","-0.99","2018","30.25","2.8","1.5","1","2.5","4.96","3.31","8.26","53.6","35.7","89.3","18'08/31"
"67",="6201","亞弘電","05/22","33.25","-0.05","-0.15","2018","29.55","2.3","2.1","0","2.1","7.11","0","7.11","91.3","0","91.3","18'08/31"
"68",="4916","事欣科","05/22","26.7","-0.35","-1.29","2018","29.2","1.06","0.99","0","0.99","3.39","0","3.39","93.3","0","93.3","18'09/07"
"69",="3580","友威科","05/22","22.7","-0.3","-1.3","2018","27.7","5.29","3","0","3","10.8","0","10.8","56.7","0","56.7","18'09/12"
"70",="6136","富爾特","05/22","18.7","-0.1","-0.53","2018","18","1.72","1.8","0","1.8","10","0","10","105","0","105","18'07/27"
"71",="4942","嘉彰","05/22","33.5","-0.45","-1.33","2018","34","1.75","1.2","0","1.2","3.53","0","3.53","68.6","0","68.6","18'09/19"
"72",="2459","敦吉","05/22","40.25","-0.35","-0.86","2018","35.7","4.13","3","0","3","8.4","0","8.4","72.6","0","72.6","18'07/30"
"73",="2915","潤泰全","05/22","67.1","-1.1","-1.61","2018","78.6","15.15","4","0","4","5.09","0","5.09","26.4","0","26.4","18'08/30"
"74",="3088","艾訊","05/22","53.7","-0.3","-0.56","2018","50.6","11.71","5.53","0","5.53","10.9","0","10.9","47.2","0","47.2","18'08/24"
"75",="2348","海悅","05/22","60.5","-0.3","-0.49","2018","46.3","2.13","3.6","0","3.6","7.78","0","7.78","169","0","169","18'08/14"
"76",="2385","群光","05/22","79.5","-2","-2.45","2018","62.6","5.92","4.45","0.05","4.5","7.11","0.08","7.19","75.2","0.84","76","18'07/20"
