"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1",="9188","精熙-DR","05/22","2.51","-0.07","-2.71","2015","3.93","","0.42","0","0.42","10.6","0","10.6","","","",""
"2",="6523","達爾膚","05/22","63.3","-0.8","-1.25","2015","","8.68","6","0","6","","","","69.1","0","69.1","15'08/07"
"3",="1439","中和","05/22","35.1","+0.3","+0.86","2015","13.45","0.01","0.5","0","0.5","3.72","0","3.72","5000","0","5000","15'08/12"
"4","00837B","永豐15年金融債","05/22","36.22","+0.64","+1.8","-","","","","","","","","","","","",""
"5",="6125","廣運","05/22","16.8","-0.05","-0.3","2015","12.4","0.74","0.5","0","0.5","4.03","0","4.03","67.6","0","67.6",""
"6",="2020","美亞","05/22","17.7","-0.1","-0.56","2015","12.35","0.92","0.8","0","0.8","6.48","0","6.48","87","0","87","15'07/31"
"7",="6186","新潤","05/22","29.8","-0.05","-0.17","2015","22","3.34","2.5","0.5","3","11.4","2.27","13.6","74.8","15","89.8","15'10/27"
"8",="1465","偉全","05/22","15.2","-0.05","-0.33","2015","14.8","1.05","0.95","0","0.95","6.42","0","6.42","90.5","0","90.5","15'10/05"
"9",="6292","迅德","05/22","35.9","+0.15","+0.42","2015","27.7","3.31","3","0","3","10.8","0","10.8","90.6","0","90.6","15'09/04"
"10",="5604","中連貨","05/22","58.1","+0.5","+0.87","2015","35.35","1.19","1.8","0","1.8","5.09","0","5.09","151","0","151","15'07/15"
"11",="8066","來思達","05/22","62.9","-0.4","-0.63","2015","101.5","4.71","4","0","4","3.94","0","3.94","84.9","0","84.9","15'07/31"
"12",="2923","鼎固-KY","05/22","23.5","-0.65","-2.69","2015","21.3","1.67","0.22","0","0.22","1.03","0","1.03","13.2","0","13.2","15'09/25"
"13",="3056","總太","05/22","32.1","-0.05","-0.16","2015","12.7","2.43","0.5","1.5","2","3.94","11.8","15.8","20.6","61.7","82.3","15'09/29"
