,代號1,名稱1,代號2,名稱2
116,00745B,富邦中政債0-1,00651R,FH香港反1
117,00849B,中信EM主權債0-5,00625K,富邦上証+R
118,00765B,群益中國政金債,00636K,國泰中國A50+U
119,00853B,統一美債10年Aa-A,00686R,群益臺灣加權反1
120,00727B,國泰1-5Y高收債,00677U,富邦VIX
121,00838B,永豐7-10年中國債,02001L,富邦蘋果正二N
122,00843B,台新中國政策債,00715L,街口布蘭特油正2
123,00859B,群益0-1年美債,00676R,富邦臺灣加權反1
124,00855B,富邦全球能源債,00634R,富邦上証反1
125,00847B,中信美國市政債,020000,富邦特選蘋果N
126,00741B,富邦全球高收債,020014,元大富櫃200N
127,00662,富邦NASDAQ,020001,富邦存股雙十N
128,00732,國泰RMB短期報酬,020012,富邦行動通訊N
129,00845B,富邦新興投等債,020017,永豐富櫃200N
130,00837B,永豐15年金融債,020011,統一微波高息20N
131,0051,元大中型100,02001R,富邦蘋果反一N
132,00647L,元大S&P500正2,00643K,群益深証中小+R
133,00673R,元大S&P原油反1,912398,友佳-DR
134,00719B,元大美債1-3,9188,精熙-DR
135,00655L,國泰中國A50正2,9105,泰金寶-DR
136,00713,元大台灣高息低波,9110,越南控-DR
137,00688L,國泰20年美債正2,00672L,元大S&P原油正2
138,00680L,元大美債20正2,912000,晨訊科-DR
139,006206,元大上證50,911608,明輝-DR
140,1312A,國喬特,911868,同方友友-DR
141,00757,統一FANG+,911616,杜康-DR
142,006205,富邦上証,910482,0.0
